"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,"true","false",,"Tue Sep 08 05:42:51 +0000 2009","married to the most beautiful man in the world. my hope is in Christ Jesus. my children & grandchildren make me the richest woman on earth. I love my church!",,,,,,,,,,,,,,,,"0","8596","36","65","true","72482433","false","false","false","","7","Zero",,"false","https://pbs.twimg.com/profile_images/901226952723316736/7Q1Gwfzc_normal.jpg","","7230","https://twitter.com/margaret2208","user","https://x.com/margaret2208","margaret2208","@NBCNews Where is the mansion, swimming pool, tennis/basketball courts &amp; spy equipment? No loss especially when we find you meddling in US election","Fri Jul 28 23:52:27 +0000 2017"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/13115682/1728849595","Tue Feb 05 22:04:38 +0000 2008","Award-winning local news from Arizona and metro Phoenix | The Arizona Republic in the streets 🗞️ @azcentral in the tweets  | Instagram: azcentral",,,,,,,,,,,"azcentral.com","http://www.azcentral.com","0","23","https://t.co/tCyn4r4LSX","0","2792","446906","699","true","13115682","true","false","false","Phoenix, AZ","81560","azcentral","1184949485031440384","false","https://pbs.twimg.com/profile_images/885573960561299456/L573mqVt_normal.jpg","","321355","https://twitter.com/azcentral","user","https://x.com/azcentral","azcentral","Robert Mueller's investigation into election-meddling by Russia could shine light on some of Trump's business deals. https://t.co/MNkOYPv6CN","Fri Jul 28 22:30:21 +0000 2017"
,,,,,,"false","true",,"Thu Jan 06 19:48:47 +0000 2011","",,,,,,,,,,,,,,,,"0","232","14","59","false","234871873","false","false","false","Colorado, USA","1","Marty Rahl",,"false","https://pbs.twimg.com/profile_images/818935094689878016/nuCY2SAV_normal.jpg","","174","https://twitter.com/originalten","user","https://x.com/originalten","originalten","@SenCoryGardner You are right on N Korea. Need you to step up on condemning Russia for meddling in our election process.  Y'v been weak in this area","Fri Jul 28 22:27:10 +0000 2017"
,,,,,,"false","true",,"Wed Apr 14 03:53:43 +0000 2010","Entrylaw is a trademark of the law firm Parrilli Renison, a Global Immigration Services firm.",,,,,,,,,,,"entrylaw.com","http://www.entrylaw.com","0","22","http://t.co/AvK9EWrL1y","0","112","89","17","false","132768171","false","false","false","","16","entrylaw",,"false","https://pbs.twimg.com/profile_images/897604826/Entrylaw_E-72dpi_normal.jpg","","497","https://twitter.com/entrylaw","user","https://x.com/entrylaw","entrylaw","40 % of Americans don't believe Russia tried meddling in election despite evidence from U.S. intelligence agencies https://t.co/jfmCtm6if7","Fri Jul 28 22:25:17 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/779378588957147136/1497189561","Fri Sep 23 17:55:10 +0000 2016","US Marshals Svc, Retired. #USPatriot Constitutional Conservative, #1A, #2A, #MAGA🇺🇲 #BuildTheWall #IStandWithIsrael🇺🇲🇮🇱 #🟦 ERASE HAMAS! NO CEASE FIRE!",,,,,,,,,,,,,,,,"0","75516","3344","4310","true","779378588957147136","false","false","false","San Antonio, TX","874","Constitutional US Patriot🇺🇲🇮🇱 #🟦","1712499056058966045","false","https://pbs.twimg.com/profile_images/1785380566713438208/FJKs_CLw_normal.jpg","","68988","https://twitter.com/NancyCrandall3","user","https://x.com/NancyCrandall3","NancyCrandall3","@tomboygirl0522 @USAGSessions @RepAdamSchiff What law was broken? I have heard no charges. Mueller was hired to investigate Russian meddling in election. Mueller changed path of probe.","Fri Jul 28 21:01:41 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/107497796/1426394803","Fri Jan 22 19:23:01 +0000 2010","Mother| Anchor/Reporter| 🇺🇸/🇮🇹| Emmy winner| @WSVN @uiowa/@MedillSchool| IG:@RobbinSimmons7💕💚",,,,,,,,,,,"wsvn.com/newsteam/?id=V…","http://www.wsvn.com/newsteam/?id=V38","0","23","https://t.co/lEKgLQe2KW","0","42393","8727","9229","true","107497796","false","false","false","Miami / Fort Lauderdale","2754","Robbin Simmons",,"false","https://pbs.twimg.com/profile_images/1205518870913703936/yYO-6aya_normal.jpg","","137766","https://twitter.com/RobbinSimmons7","user","https://x.com/RobbinSimmons7","RobbinSimmons7","A story gaining traction in certain quarters, yet Russian meddling in US election is...well.. https://t.co/9Db8pRrh6N","Fri Jul 28 20:37:36 +0000 2017"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/708725930571661312/1517057791","Sat Mar 12 18:46:44 +0000 2016","TRUMP 2024
Restore America Again",,,,,,,,,,,,,,,,"0","2984","126","224","false","708725930571661312","false","false","false","Missouri, USA","131","Chris G",,"false","https://pbs.twimg.com/profile_images/986507434503163904/4hZCicvd_normal.jpg","","3167","https://twitter.com/ChrisG1122","user","https://x.com/ChrisG1122","ChrisG1122","@SenSchumer Now, time to investigate Hillary and the DNC over their meddling in the election to throw Bernie under the bus?","Fri Jul 28 20:31:48 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1004325984/1656851941","Tue Dec 11 16:10:32 +0000 2012","games, jokes, movies and music. i say dumb shit on camera. whataboutit?",,,,,,,,,,,"twitch.tv/upsettriscuit","https://twitch.tv/upsettriscuit","0","23","https://t.co/jf5Dtr7ciP","0","19094","151","294","true","1004325984","false","false","false","Who’s Askin?","449","cuntiest cracker on twitch","1648806897166831618","false","https://pbs.twimg.com/profile_images/1792287542143787008/LtVz9ZGj_normal.jpg","","4289","https://twitter.com/UpsetTriscuit","user","https://x.com/UpsetTriscuit","UpsetTriscuit","Who'd have guessed the man who shrugs off election meddling would have no regard for due process? https://t.co/C5uJ4JBStG","Fri Jul 28 20:04:53 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/826494289156861953/1485887141","Tue Jan 31 18:16:08 +0000 2017","Protect yo'self before you wreck yo'self #breachcraft #cybersecurity #iot #pci #datasecurity #hipaa #infosec #databreach #compliance",,,,,,,,,,,,,,,,"0","877","1879","1020","false","826494289156861953","false","false","false","","300","Cyber Security Guy",,"false","https://pbs.twimg.com/profile_images/1032683340661309441/iRHlQbl1_normal.jpg","","879","https://twitter.com/CyberSecureGuy","user","https://x.com/CyberSecureGuy","CyberSecureGuy","Hackers plan to break into 30 voting machines to put #election meddling to the test! #cybersecurity #hackers https://t.co/4yiFNWMTSk","Fri Jul 28 20:02:32 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/14954902/1677180657","Fri May 30 14:24:33 +0000 2008","Chief Technology Strategist | Groundbreaking Technologist | Proven Innovator",,,,,,,,,,,"moniquemorrow.com","http://www.moniquemorrow.com/","0","23","https://t.co/mGV0qRH1tR","0","8453","39872","3702","false","14954902","false","false","false","Zurich, Switzerland","947","Monique Morrow",,"false","https://pbs.twimg.com/profile_images/891038581128605698/_Rf7JlOT_normal.jpg","","7247","https://twitter.com/moniquejmorrow","user","https://x.com/moniquejmorrow","moniquejmorrow","Hackers plan to break into 30 voting machines to put election meddling to the test https://t.co/5wNsbBxFbo via @USATODAY","Fri Jul 28 19:59:59 +0000 2017"
