"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1206249764/1487283071","Thu Feb 21 23:15:58 +0000 2013","",,,,,,,,,,,,,,,,"0","673","18","122","false","1206249764","false","false","false","","4","Dillon Strange",,"false","https://pbs.twimg.com/profile_images/378800000128541901/b7073fc9e0927503f6885bc67c7767d8_normal.jpeg","","322","https://twitter.com/dillon_strange","user","https://x.com/dillon_strange","dillon_strange",,"@JohnCornyn Yeah except that Trump is pro Russia and you've seen the intelligence. A lot of Rs will be swept into the investigation. Good luck you hack.","Wed Jul 12 23:59:45 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/826946865023184896/1498957289","Thu Feb 02 00:14:31 +0000 2017","Bleeding heart snowflake. Big blue living in a very red state! Catholic. Retired RN. SF Giants fan.  #impeachtrump  #notmypresident #resist",,,,,,,,,,,,,,,,"0","72085","1492","2557","false","826946865023184896","false","false","false","Bismarck, ND","986","Vicky B.",,"false","https://pbs.twimg.com/profile_images/845720324935237632/ZdDUKmEf_normal.jpg","","9123","https://twitter.com/Vickybayless","user","https://x.com/Vickybayless","Vickybayless",,"@JacobAWohl @realDonaldTrump But Jacob Wohl this isn't about HRC. We're talking about trump and his collusion with Russia and his obstructing the investigation!","Wed Jul 12 23:58:12 +0000 2017"
,,,,,,,,,,,,,,"false","true",,"Sun Feb 21 05:55:39 +0000 2010","I am a 35, a pro photographer with two boys, Cody and Alex, and I am engaged to a wonderful man, Joseph. I have MS but MS doesn't have me!.",,,,,,,,,,,"facebook.com/frgrjenn","http://facebook.com/frgrjenn","0","23","https://t.co/57jfIUtf39","0","5","50","47","false","116110583","false","false","false","Wichita, KS","25","Jennifer Pritchard",,"false","https://pbs.twimg.com/profile_images/839130473968336896/MsH206k3_normal.jpg","","15721","https://twitter.com/JennPritchard","user","https://x.com/JennPritchard","JennPritchard",,"Putin Couldn’t Have Planned Trump-Russia Investigation Better Himself, Says Former Russian Spy https://t.co/yxK1hSwBZp","Wed Jul 12 23:50:08 +0000 2017"
,,,,,,,,,,,,,,"false","true",,"Sun Apr 06 00:16:56 +0000 2014","#RESISTANCE to inhumanity, criminality, racism and bigotry.     Please, no DMs, no lists",,,,,,,,,,,,,,,,"0","432856","10877","11000","true","2429612832","false","false","false","","1044","willa percy",,"false","https://pbs.twimg.com/profile_images/728919022654361601/t4BcNaKm_normal.jpg","","246400","https://twitter.com/willapercy","user","https://x.com/willapercy","willapercy",,"6 signs that the Russia investigation could blow up the Trump White House #LockThemUp @realDonaldTrump https://t.co/T2a7adzypW","Wed Jul 12 23:49:35 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/45564482/1563400829","Mon Jun 08 13:30:34 +0000 2009","This is New York: @thecut @vulture @intelligencer @curbed @grubstreet @strategist
Subscribe: https://t.co/eO5NQ0hSUF
Get 'One Great Story' every day: https://t.co/FtV7tlY7aX","nymag.com/subscribe","http://nymag.com/subscribe","93","116","https://t.co/eO5NQ0hSUF","nym.ag/3tRlORP","http://nym.ag/3tRlORP","150","173","https://t.co/FtV7tlY7aX","nymag.com","https://www.nymag.com","0","23","https://t.co/7JjN8gi13H","0","2775","1727100","1037","true","45564482","true","false","false","New York, NY","50227","New York Magazine","1857726075704328332","false","https://pbs.twimg.com/profile_images/2939680330/56f025f0104892f84a84c00bdb4ec812_normal.png","","261877","https://twitter.com/NYMag","user","https://x.com/NYMag","NYMag","Business","Trump's lawyers think it’s about time he stopped taking advice on the Russia investigation from Kushner https://t.co/ApmWcY0Fyp","Wed Jul 12 23:47:19 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/27550555/1623013634","Mon Mar 30 01:14:27 +0000 2009","",,,,,,,,,,,"dnc.com","http://www.dnc.com","0","23","https://t.co/eljPMPgT1y","0","10008","1306","3793","false","27550555","false","false","false","modesto ca","11463","vote💙",,"false","https://pbs.twimg.com/profile_images/1401922745902923777/jcx7z95q_normal.jpg","","64634","https://twitter.com/RepubliClowns","user","https://x.com/RepubliClowns","RepubliClowns",,"6 signs that the Russia investigation could blow up the Trump White House

https://t.co/gk5x90EJvb","Wed Jul 12 23:47:11 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/2989557440/1435956027","Mon Jan 19 08:25:57 +0000 2015","All about #Info #Netizen #newsworld #Bisnis #Lokasi #wisata #travel  #komunitas pin : C00294D8E ig:ragaminfonews fb:ragaminfonews",,,,,,,,,,,"facebook.com/ragaminfonews","http://www.facebook.com/ragaminfonews","0","22","http://t.co/fRroKnA5DV","0","66","868","100","false","2989557440","false","false","false","","256780","Ragam Info News","617071023079305216","false","https://pbs.twimg.com/profile_images/604180239095189504/LGHnCzd1_normal.png","","530654","https://twitter.com/ragaminfonews","user","https://x.com/ragaminfonews","ragaminfonews",,"BBCWorld : Trump's nominee for FBI director says the investigation into the US president's Russia ties is ""not a w… https://t.co/4UKm2s5XCD) https://t.co/tCkSgQTO8v","Wed Jul 12 23:46:19 +0000 2017"
,,,,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/262150893/1641710145","Mon Mar 07 13:24:12 +0000 2011","Ya Allah, Grant us ease and respond to our du'as. Do not make us break.",,,,,,,,,,,"linkedin.com/in/engr-abdull…","https://www.linkedin.com/in/engr-abdullahi-balarabe-bello-761539150","0","23","https://t.co/LiF98qgEEu","0","755","1543","348","true","262150893","false","false","false","Kano, Nigeria","238380","𝓔𝓷𝓰𝓻 𝓐𝓫𝓭𝓾𝓵𝓵𝓪𝓱𝓲 𝓑𝓮𝓮 𝓑𝓮𝓵𝓵𝓸 ≋™≋","1264994015151362048","false","https://pbs.twimg.com/profile_images/1587677477526200320/n8Vo8-Pz_normal.jpg","","570186","https://twitter.com/bbello2015","user","https://x.com/bbello2015","bbello2015",,"BBCWorld: Trump's nominee for FBI director says the investigation into the US president's Russia ties is ""not a wi… https://t.co/Oj5ymEgSrT","Wed Jul 12 23:44:24 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1343635573/1489734071","Thu Apr 11 05:51:30 +0000 2013","සොප්ට්වෙයාර් ඉන්ජිනියර්",,,,,,,,,,,"facebook.com/Shafrannaizer","http://facebook.com/Shafrannaizer","0","23","https://t.co/B8UYZRVXor","0","8109","301","1140","true","1343635573","false","false","false","Galle Srilanka","7867","Shafran Naizer",,"false","https://pbs.twimg.com/profile_images/1656651374682075140/EWg2lFd1_normal.jpg","","47604","https://twitter.com/ShafranNaizer","user","https://x.com/ShafranNaizer","ShafranNaizer",,"Trump's nominee for FBI director says the investigation into the US president's Russia ties is ""not a witch hunt""… https://t.co/RBlRrQ4bSE…","Wed Jul 12 23:43:18 +0000 2017"
,,,,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/450830239/1617112822","Fri Dec 30 18:19:40 +0000 2011","Society is like a stew. If you don't stir it up every once in a while then a layer of scum floats to the top. (Edward Abbey)

http://t.co/EDX9GpZe","amazon.com/Rebecca-Burke/…","http://www.amazon.com/Rebecca-Burke/e/B0050PLGDU","128","148","http://t.co/EDX9GpZe",,,,,,,,,,,"0","72901","726","960","true","450830239","false","false","false","Not the Mild Midwest","96","Rebecca Burke",,"false","https://pbs.twimg.com/profile_images/1376897077389692928/jtgSxHbo_normal.jpg","","21325","https://twitter.com/RebeccaBurkeSi","user","https://x.com/RebeccaBurkeSi","RebeccaBurkeSi",,"6 signs that the Russia investigation could blow up the Trump White House https://t.co/9lJ3yk4P1W","Wed Jul 12 23:43:14 +0000 2017"
