"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,"false","false",,"Wed Mar 24 23:56:34 +0000 2010","Born1931,child,student,teacher,wife,mother,grand & gr grandmo. Baby in profile pic is1st grgrand at 1st BD party a bit stunned just like I am most of the time.",,,,,,,,,,,,,,,,,,,,,"0","78813","5235","6071","true","126145029","false","false","false","Florence, Alabama","84","Carolyn Neuman",,"false","https://pbs.twimg.com/profile_images/2292997215/5l04aok5auc1mk07j4mm_normal.jpeg","","135295","https://twitter.com/84stillcounting","user","https://x.com/84stillcounting","84stillcounting","Trump on Russia investigation: 'They're trying to cheat you out of the future and the future that you want' https://t.co/WFGJFK1kOK","Fri Aug 18 23:32:24 +0000 2017"
,,,,,,"false","false",,"Thu May 02 16:37:55 +0000 2013","",,,,,,,,,,,,,,,,,,,,,"0","0","9","0","false","1397588478","false","false","false","","271","S.J. Benoit",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","1705","https://twitter.com/SJBenoit000","user","https://x.com/SJBenoit000","SJBenoit000","@realDonaldTrump Quit deflecting. Russia investigation + Nazi snafu = bye, bye Trump. #CrybabyTrump #TraitorTrump #NaziSympathizerTrump #FakePresidentTrump","Fri Aug 18 23:21:37 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/429068247/1356527943","Mon Dec 05 14:34:54 +0000 2011","@MYANC is an organised crime syndicate. Ramaphosa's Govt is useless. Human activity causes Climate Change. Common Sense Gun Regulation. Tottenham Hotspur. #COYS",,,,,,,,,,,,,,,,,,,,,"0","19729","7851","6965","true","429068247","false","false","false","Johannesburg, South Africa","6928","Robert James Hickson",,"false","https://pbs.twimg.com/profile_images/2697355284/9c5b9b26cf871762a13df21cfb9cbf34_normal.jpeg","","137990","https://twitter.com/PositivelyNot","user","https://x.com/PositivelyNot","PositivelyNot","...less about strengthening US Cyber Command than about closing down the NSA's ability to assist in Mueller's Trump-Russia investigation..? https://t.co/CePLfgkGZ1","Fri Aug 18 23:19:30 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/399136805/1558638102","Thu Oct 27 01:40:47 +0000 2011","U.S. Citizen who love this GREAT COUNTRY; a veteran, and last but certainly not least, A TAXPAYER.  And, those are facts; NOT ""alternative facts"".",,,,,,,,,,,,,,,,,,,,,"0","15189","551","573","true","399136805","false","false","false","","2214","Russians In The White House","1154148884454629378","false","https://pbs.twimg.com/profile_images/1131633730014064641/n-PQxwfu_normal.png","","21071","https://twitter.com/Genuine30005","user","https://x.com/Genuine30005","Genuine30005","@tonyschwartz @nuttmedia -Trump has gotten away with so much.  He believes that with the Russia collusion investigation, this too shall pass","Fri Aug 18 22:55:47 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/362869376/1496944792","Sat Aug 27 03:37:01 +0000 2011","",,,,,,,,,,,,,,,,,,,,,"0","5883","404","2000","true","362869376","false","false","false","Charleston ","115","Aron L",,"false","https://pbs.twimg.com/profile_images/712722714935603200/2AVwn7ro_normal.jpg","","8609","https://twitter.com/6_foot8","user","https://x.com/6_foot8","6_foot8","@snitza2 It's not exactly bad either because their investigation has nothing to do with the Trump/Russia or obstruction of justice issue.","Fri Aug 18 22:51:03 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/348559988/1604924378","Thu Aug 04 16:44:22 +0000 2011","Composer. Musician. Science fan. Saving democracy, one tweet at a time.",,,,,,,,,,,,,,,,,,,,,"0","1026741","2341","1632","true","348559988","false","false","false","","837","AmyMusician",,"false","https://pbs.twimg.com/profile_images/1573413394685870085/ythSDHCC_normal.jpg","","128529","https://twitter.com/MmeScience","user","https://x.com/MmeScience","MmeScience","@CREWcrew What does Bannon know about Trump and the Russia investigation?","Fri Aug 18 22:50:30 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/11866582/1685501247","Sat Jan 05 05:15:08 +0000 2008","This site rots your brain for the benefit of a miserable billionaire who hates his own child. JOIN US AS WE START AGAIN: https://t.co/aiUarNPVof","bit.ly/4fyEigM","http://bit.ly/4fyEigM","121","144","https://t.co/aiUarNPVof",,,,,,,,,,,"iknowhowmuchyoucare.com","https://iknowhowmuchyoucare.com/","0","23","https://t.co/ZECmzdQcTb","0","155686","283955","9899","true","11866582","false","false","false","Ann Arbor, Michigan","5599","Go to Bluesky to save your brain -- L O L G O P","1856889038449291546","false","https://pbs.twimg.com/profile_images/1653013423477645312/0BxgPIeZ_normal.jpg","","347479","https://twitter.com/LOLGOP","user","https://x.com/LOLGOP","LOLGOP","What's great about this is 38% are likely Trump fans who didn't believe him when he said he fired Comey because of the Russia investigation. https://t.co/Fwks2XKcRb","Fri Aug 18 22:48:05 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/290664328/1479329886","Sat Apr 30 17:39:46 +0000 2011","""You can't promote principled anti-corruption action without pissing-off corrupt people."" RW trolls: expect withering retorts before blocking.",,,,,,,,,,,,,,,,,,,,,"0","1229","2095","2366","false","290664328","false","false","false","Grumplandia","775","Grumpy Dem",,"false","https://pbs.twimg.com/profile_images/822580607691714560/bijNgJOn_normal.jpg","","24164","https://twitter.com/GrumpyDem","user","https://x.com/GrumpyDem","GrumpyDem","Bookmark this site: interactive timeline of Trump/Russia investigation. B/c at this point, we really DO need a map. https://t.co/Ar13thUwkP","Fri Aug 18 22:33:41 +0000 2017"
,,,,,,"false","false",,"Sat Jan 28 16:33:14 +0000 2017","",,,,,,,,,,,,,,,,,,,,,"0","364294","557","557","true","825381228501094401","false","false","false","","599","Juliana LeRoy",,"false","https://pbs.twimg.com/profile_images/1357469844040372225/lTBrE5_2_normal.jpg","","210937","https://twitter.com/1Mamabear22","user","https://x.com/1Mamabear22","1Mamabear22","@lasteve423 The Mueller investigation is into Russia-election interference -- the Trump goldmine of treachery is icing on the cake. Disband = GOP guilt.","Fri Aug 18 22:30:06 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/823859577435275265/1486711810","Tue Jan 24 11:46:44 +0000 2017","",,,,,,,,,,,,,,,,,,,,,"0","0","326","1323","false","823859577435275265","false","false","false","","0","world news",,"false","https://pbs.twimg.com/profile_images/832971302277259266/kJejiqtB_normal.jpg","","10828","https://twitter.com/world_newzeb","user","https://x.com/world_newzeb","world_newzeb","Trump defends his time off as Russia investigation intensifies Video - A https://t.co/oLmz0BHFPA","Fri Aug 18 22:22:33 +0000 2017"
