"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","true",,"Mon Apr 20 15:11:47 +0000 2015","",,,,,,"0","46","67","156","false","3187410778","false","false","false","","0","Jacqueline L Pearson",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","3846","https://twitter.com/jacquelinelpea1","user","https://x.com/jacquelinelpea1","jacquelinelpea1","@progressive_va @solaranoir @ten24get @thedailybeast They block the investigation of Trump ties to Russia.","Tue Oct 04 23:58:23 +0000 2016"
"false","true",,"Thu Apr 28 22:34:30 +0000 2016","Like sports and news",,,,,,"0","4783","165","235","false","725815480078864384","false","false","false","","3848","Tyrone Miller",,"false","https://pbs.twimg.com/profile_images/1656705980573401088/6ZBNelDG_normal.jpg","","8050","https://twitter.com/tyronem669","user","https://x.com/tyronem669","tyronem669","@FoxNews Trump I FBI should investigation Trump T-UNIVERSITY, Taxes Loan from China and Russia and other countries leaking infor to Russia.","Tue Oct 04 17:28:11 +0000 2016"
"true","false","https://pbs.twimg.com/profile_banners/117767974/1716732310","Fri Feb 26 15:06:15 +0000 2010","Deputy Director @ITCTOfficial. DG Ops & Head Consultant @midstonecentre. Podcast: @FJTalksPodcast. 

RTs not endorsements, All opinions personal.","itct.org.uk/about/our-team/","https://www.itct.org.uk/about/our-team/","0","23","https://t.co/N8Q8TbxsVE","0","270415","99613","7781","true","117767974","true","false","false","🌍","68974","FJ","1854130504225665211","false","https://pbs.twimg.com/profile_images/1763892869104865280/YRtxergO_normal.jpg","","472418","https://twitter.com/Natsecjeff","user","https://x.com/Natsecjeff","Natsecjeff","Any word on Putin's meddling in U.S. election? Pretty easy to live under FSB's security umbrella and criticize U.S. https://t.co/76c5Xjj9sY","Tue Oct 04 22:04:16 +0000 2016"
"false","false","https://pbs.twimg.com/profile_banners/17264536/1459290297","Sun Nov 09 04:19:53 +0000 2008","Your typical run-of-the-mill book worm. Facinated by the history of Europe, the Middle East & Africa, love SCANDAL!!! PROUD Dem/Neoliberal/Neo*. Bros blocked!!",,,,,,"0","125671","1051","1750","true","17264536","false","false","false","NJ","1669","Allison ⚖️","762863296328323072","false","https://pbs.twimg.com/profile_images/750150337365966849/4BJoEWa0_normal.jpg","","117190","https://twitter.com/allibeth63","user","https://x.com/allibeth63","allibeth63","https://t.co/pRl7oQCDGr
https://t.co/xSd9jHrPGE.  
Now show proof of President Obama meddling in Israel's election or politics. https://t.co/ghhRMbHDhM","Tue Oct 04 21:11:57 +0000 2016"
"false","false","https://pbs.twimg.com/profile_banners/3282973915/1672816283","Sat Jul 18 02:47:17 +0000 2015","Reposts ≠ endorsements. Offering an umpire's perspective on politics, prioritizing more, not less information. Also, SPORTS & opinions – from left to right.","MedianPolitics.com","http://MedianPolitics.com","0","23","https://t.co/U8ErpHLfr7","0","1460","30713","4918","true","3282973915","true","false","false","Beverly Hills, CA","20663","Median Politics","1854053345649914091","false","https://pbs.twimg.com/profile_images/1589464979089936384/E6a6TK3n_normal.jpg","","257834","https://twitter.com/MedianPolitics","user","https://x.com/MedianPolitics","MedianPolitics","@SeanMcElwee @mike3k or this? Clinton Emails Reveal Foreign Meddling in Last Haitian Presidential Election 
https://t.co/yae0XqS7fE","Tue Oct 04 20:30:22 +0000 2016"
"false","false","https://pbs.twimg.com/profile_banners/3282973915/1672816283","Sat Jul 18 02:47:17 +0000 2015","Reposts ≠ endorsements. Offering an umpire's perspective on politics, prioritizing more, not less information. Also, SPORTS & opinions – from left to right.","MedianPolitics.com","http://MedianPolitics.com","0","23","https://t.co/U8ErpHLfr7","0","1460","30713","4918","true","3282973915","true","false","false","Beverly Hills, CA","20663","Median Politics","1854053345649914091","false","https://pbs.twimg.com/profile_images/1589464979089936384/E6a6TK3n_normal.jpg","","257834","https://twitter.com/MedianPolitics","user","https://x.com/MedianPolitics","MedianPolitics","@JustinBarasky @mike_pence and this Clinton Emails Reveal Foreign Meddling in Last Haitian Presidential Election 
https://t.co/yae0XqS7fE","Tue Oct 04 20:05:23 +0000 2016"
"false","true",,"Thu Jul 07 22:57:00 +0000 2011","",,,,,,"0","70242","720","1936","true","331281805","false","false","false","","12","Founding Fathers",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","70696","https://twitter.com/CollinsDionte","user","https://x.com/CollinsDionte","CollinsDionte","At this point it doesn't matter, Americans don't like foreigners meddling in their affairs. Julian is not an American, this is our election. https://t.co/lB1aRiKQKo","Tue Oct 04 18:27:56 +0000 2016"
"true","true","https://pbs.twimg.com/profile_banners/146404350/1654456831","Fri May 21 10:28:53 +0000 2010","Kid, I've flown from one side of this galaxy to the other.


Father, son, @Sunderlandafc enthusiast
~ Opinions my own, but you're welcome to them ~","medium.com/@bostonirishbl…","https://medium.com/@bostonirishblog","0","23","https://t.co/6bJtYTX6Li","0","56788","1917","1936","true","146404350","false","false","false","Yavin 4","10397","Cormac","1424442881599676422","false","https://pbs.twimg.com/profile_images/1535242284890959875/_7J4-s54_normal.jpg","","57544","https://twitter.com/RealCormacE","user","https://x.com/RealCormacE","RealCormacE","@CatchaRUSSpy so much so they are even pretty clearly meddling in our election. Just about hidden from view, but, clearly embedded in same.","Tue Oct 04 18:15:30 +0000 2016"
"false","true","https://pbs.twimg.com/profile_banners/4908881383/1616980276","Mon Feb 15 00:02:20 +0000 2016","traveller #morality #ethics #sociopolitical #democracy #citizenry",,,,,,"0","801","72","465","true","4908881383","false","false","false","United States","1313","The way is progress",,"false","https://pbs.twimg.com/profile_images/1376340516715982850/j59urztR_normal.jpg","","4589","https://twitter.com/progressive_321","user","https://x.com/progressive_321","progressive_321","NonReveal #Assange Y?&gt;Ecuador threat to expel frm embassy 4 meddling in US election&gt;Sweden&gt;charges of sexual assault
https://t.co/StSAl3GAHD","Tue Oct 04 18:03:18 +0000 2016"
"true","true","https://pbs.twimg.com/profile_banners/16285830/1701874293","Sun Sep 14 18:46:07 +0000 2008","Seapower & aerospace enthusiast. Aircraft carrier poet. Ex-Space Shuttle door gunner.","linkedin.com/in/phil-ewing-…","https://www.linkedin.com/in/phil-ewing-19b00582/","0","23","https://t.co/BqfJLyW8HR","0","3196","13348","1109","true","16285830","false","false","false","Washington, D.C.","4496","Phil Ewing","1567936026412195840","false","https://pbs.twimg.com/profile_images/1683128053902221313/XGuOciDS_normal.jpg","","78254","https://twitter.com/philewing","user","https://x.com/philewing","philewing","The Chinese stole every OPM record, the Russians are meddling in the presidential election -- maybe we should get some of the cyber, too?","Tue Oct 04 17:38:39 +0000 2016"
