"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/2650464768/1704986576","Wed Jul 16 08:58:18 +0000 2014","Breaking news updates from Israel, the region, and the Jewish world","timesofisrael.com","https://timesofisrael.com","0","23","https://t.co/ferz7SHjQV","0","0","77140","8","false","2650464768","false","false","false","Israel","6771","ToI ALERTS",,"false","https://pbs.twimg.com/profile_images/489353993563303937/f9U65waG_normal.png","","114432","https://twitter.com/TOIAlerts","user","https://x.com/TOIAlerts","TOIAlerts","Live blog: Trump to get additional intelligence on Russian meddling in election https://t.co/fimF83TQ26","Tue Jan 03 17:18:13 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/715978664056213504/1484781694","Fri Apr 01 19:06:30 +0000 2016","Get informed! It will change your life.",,,,,,"0","8711","151","342","false","715978664056213504","false","false","false","georgia","232","TYLER",,"false","https://pbs.twimg.com/profile_images/821860105977294848/Dkc58UAK_normal.jpg","","15031","https://twitter.com/TDJrTD","user","https://x.com/TDJrTD","TDJrTD","@Goonertron @SethMacFarlane So our current Potus reaction to all other forms of meddling prior to election 2016 was sufficient?","Tue Jan 03 17:02:55 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/441550488/1610205142","Tue Dec 20 06:01:22 +0000 2011","I assist people.",,,,,,"0","45333","791","1579","true","441550488","false","false","false","Jersey in the Mountains","971","Citizen Samantha","940603607132422144","false","https://pbs.twimg.com/profile_images/759770683018731520/UXTcnhVk_normal.jpg","","35040","https://twitter.com/CitiSam","user","https://x.com/CitiSam","CitiSam","@LindseyGrahamSC what about investigating the Russian meddling in our election?","Tue Jan 03 16:12:27 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/246151786/1512681366","Wed Feb 02 07:09:19 +0000 2011","Trump Supporter..non-negotiable ....Married, Kids, NOT a feminist, ProLife, Pro 2A, I stand w Military/Law and Order, Christian",,,,,,"0","24614","3577","4478","true","246151786","false","false","false"," Pa","4749","Jen~Proud Patriot",,"false","https://pbs.twimg.com/profile_images/1817661138722570240/Gv8UijY6_normal.jpg","","109365","https://twitter.com/REPUBL_I_CAN","user","https://x.com/REPUBL_I_CAN","REPUBL_I_CAN","Hillary spent OUR money to try to overthrow Putin .. Election-meddling fiasco hits US-Russia relations https://t.co/AaqWnEluuO","Tue Jan 03 15:40:34 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/594116718/1449872484","Tue May 29 21:03:42 +0000 2012","Progressives for Prosperity fights for the American ideal: That all, regardless of immutable characteristic, have a right to life, liberty, & property's pursuit","progressivesforprosperity.org","http://www.progressivesforprosperity.org","0","23","https://t.co/mdFM5UXh0O","0","40454","36009","34068","true","594116718","false","false","false","United States of America","2153","America Resurgent","1047860196884840449","false","https://pbs.twimg.com/profile_images/889337431148961793/oK7wNQ53_normal.jpg","","60056","https://twitter.com/ProgressOutlook","user","https://x.com/ProgressOutlook","ProgressOutlook","@bbogaard @realDonaldTrump How can you simply shrug off a foreign power meddling in our election to bolster a certain candidate?","Tue Jan 03 15:20:18 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/339534214/1557608061","Thu Jul 21 07:48:56 +0000 2011","Seeking out the big stories ...  
#News #People #Nature #Physics #Photography #Tech #Landscape #Travel #Aviation #Love #Music #History  
Take care. Have fun !",,,,,,"0","70376","12125","13317","true","339534214","false","false","false","Greece ","18758","Michael Argiroudis",,"false","https://pbs.twimg.com/profile_images/1842622942435328000/bUp-5yQ3_normal.jpg","","248499","https://twitter.com/MikeArgi","user","https://x.com/MikeArgi","MikeArgi","Obama 'Prisoner to Own Baseless Narrative about Russian Meddling in US Election': https://t.co/LWTvSybSuu via @SputnikInt","Tue Jan 03 15:18:30 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/11648182/1484838444","Sun Dec 30 03:12:18 +0000 2007","Mother of three, connoisseur of irony, purveyor of sarcasm, lover of dogs, blogger, Ukulele novice, assistant brewer of fine beers.",,,,,,"0","1374","209","214","false","11648182","false","false","false","North Carolina","312","Ellie","958433852183273472","false","https://pbs.twimg.com/profile_images/822094222677262337/Wldx16pZ_normal.jpg","","2390","https://twitter.com/EllieInNC","user","https://x.com/EllieInNC","EllieInNC","Demand: Senate FULLY investigate Russian meddling in U.S. election. @SenatorBurr @SenThomTillis @SenJohnMcCain @LindseyGrahamSC @SenJackReed https://t.co/8jNvNZs6cB","Tue Jan 03 13:35:32 +0000 2017"
,,,,,,"false","true",,"Mon Apr 12 16:08:42 +0000 2010","My end-of-life directive involves pizza and strippers. @FrenemyOfThePeople@mastodon.sdf.org @frenemyofthepeople.bsky.social frenemy_of_the_people on Threads",,,,,,"0","15864","466","241","false","132212777","false","false","false","OMG, LOOK BEHIND YOU!","3307","Frenemy of the People ™️","1654539144402554881","false","https://pbs.twimg.com/profile_images/1783177170610757633/1FvUn6Ob_normal.jpg","","56736","https://twitter.com/cttripp","user","https://x.com/cttripp","cttripp","With #Trump's continued refusal to acknowledge #Putin's meddling in our election, I propose a new hashtag: #TraitorTrump","Tue Jan 03 12:16:27 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/2875921835/1610891942","Fri Nov 14 02:23:54 +0000 2014","Real Polish Cowboy saved by God’s Grace, common sense, truth & all lives matter, Constitution,2A,NRA, not all my tweets R serious, Democrats are Terrorists","RETWEET.dont.LIKE","http://RETWEET.dont.LIKE","0","23","https://t.co/2EKsCEv6ms","0","14862","1798","4065","true","2875921835","false","false","false","Fly-over Red State","2570","BleedRed-I’m Old Rivers","1254415933810114561","false","https://pbs.twimg.com/profile_images/709391098108518400/MwReWO9r_normal.jpg","","34204","https://twitter.com/red_hankelrod","user","https://x.com/red_hankelrod","red_hankelrod","@MarkSoveign @SAL636 And Trump still wins; Why arnt U upset that obama was caught meddling in Israeli election?","Tue Jan 03 11:42:11 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/2902160667/1417520975","Tue Dec 02 11:25:04 +0000 2014","Ace News Room Live",,,,,,"0","479","341","708","false","2902160667","false","false","false","United Kingdom","2559","#AceBreakingNews",,"false","https://pbs.twimg.com/profile_images/539743362039812098/H6AHAvqq_normal.jpeg","","106966","https://twitter.com/AceBreakingNews","user","https://x.com/AceBreakingNews","AceBreakingNews","Washington Accuses Moscow of Meddling in US Presidential Election in Order to Discredit President-Elect Trump –… https://t.co/IFowGETuTJ","Tue Jan 03 10:13:51 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/760543335174049792/1473804089","Tue Aug 02 18:30:36 +0000 2016","East County San Diego native, taco truck and BBQ connoisseur, wino, IPA enthusiast",,,,,,"0","3229","66","428","false","760543335174049792","false","false","false","San Diego, CA","108","Santiago Iluminista",,"false","https://pbs.twimg.com/profile_images/869660854106574849/AECm_wQG_normal.jpg","","2776","https://twitter.com/iluministasays","user","https://x.com/iluministasays","iluministasays","@YvetteKopp @SpeakerRyan @POTUS  you know they all have an idea Trump hiding taxes over ties to Russia. Equally guilty if no investigation.","Tue Jan 03 22:26:35 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/4614180852/1572138622","Sun Dec 20 17:26:20 +0000 2015","Love animals",,,,,,"0","38721","2428","2772","false","4614180852","false","false","false","California, USA","1429","🇺🇸 Trump Revolution 🇺🇸",,"false","https://pbs.twimg.com/profile_images/1218357895697293313/l0GiimXT_normal.jpg","","37790","https://twitter.com/KeeponTrumppin","user","https://x.com/KeeponTrumppin","KeeponTrumppin","Why not continue your investigation in Russia? Asswipe @johnmccain2016 https://t.co/C1qk25lLsn","Tue Jan 03 22:26:07 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/786007659778408449/1697247727","Wed Oct 12 00:56:44 +0000 2016","Proud liberal.",,,,,,"0","754941","3180","660","true","786007659778408449","false","false","false","","7490","Bindi",,"false","https://pbs.twimg.com/profile_images/1807983661398347780/gUYcRf-x_normal.jpg","","358107","https://twitter.com/varda_friedman","user","https://x.com/varda_friedman","varda_friedman","Please start investigation on Trump and Russia ASAP. https://t.co/r4NLZVgEzI","Tue Jan 03 21:17:08 +0000 2017"
,,,,,,"false","true",,"Thu Apr 17 17:31:04 +0000 2014","",,,,,,"0","1","2","6","false","2450139614","false","false","false","","0","Michael L Emerson",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","16","https://twitter.com/MichaelLEmerson","user","https://x.com/MichaelLEmerson","MichaelLEmerson","# Republicans # Trump if Clinton had won there be a full blown investigation into Russia's hacking","Tue Jan 03 18:53:40 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/788742109025054723/1484156996","Wed Oct 19 14:02:27 +0000 2016","I'm a writer and activist, collector, bookseller, and wood carver. I follow the Jedi Code but have mastered Sith Sorcery.",,,,,,"0","173","17","124","false","788742109025054723","false","false","false","Dystopian Matrix","2","ILL Omen Nate",,"false","https://pbs.twimg.com/profile_images/819239693762101250/jrCKzXR4_normal.jpg","","182","https://twitter.com/ill_omen","user","https://x.com/ill_omen","ill_omen","It is more important than ever that we see his financial ties to Russia. @SenJohnMcCain Trump's taxes must be part of the investigation! https://t.co/xfxBzl2YXd","Tue Jan 03 17:39:57 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/797683035919544320/1483502941","Sun Nov 13 06:10:30 +0000 2016","Voice of reason in a storm of partisanship. Hopeful father, with creative ideas to make our world better! #WomensRights | #Equality #Science #NoTrumpNWay","NoTrumpNWay.com","http://www.NoTrumpNWay.com","0","23","https://t.co/Ue3hoFGVaV","0","8976","1639","2821","true","797683035919544320","false","false","false","Pennsylvania, USA","22","No Trump N Way","920957155133575173","false","https://pbs.twimg.com/profile_images/842578150429093888/HM8dASUr_normal.jpg","","10715","https://twitter.com/NoTrumpNWay","user","https://x.com/NoTrumpNWay","NoTrumpNWay","@haaretzcom as I have said for a while, a full bipartisan #investigation is needed. Wiki leaks gets info from all sorts of sources. #Russia","Tue Jan 03 12:52:46 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/44476007/1573397924","Wed Jun 03 22:30:09 +0000 2009","I play games and talk madness. All opinions are my own. Married to @Danie_Arr. Currently playing #totk","twitch.tv/dezba713","http://twitch.tv/dezba713","0","23","https://t.co/c24fnqm4q4","0","2865","189","374","true","44476007","false","false","false","Escondido, CA","793","Adam","1196541831720230912","false","https://pbs.twimg.com/profile_images/928702883838574592/LhIEayrh_normal.jpg","","16475","https://twitter.com/BooyaxBoy","user","https://x.com/BooyaxBoy","BooyaxBoy","Which is the kind of thing that may have come to light had R's not stonewalled a hacking investigation, or had Russia not supported Trump","Tue Jan 03 09:05:28 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/753633468416798720/1621816791","Thu Jul 14 16:53:15 +0000 2016","Elections matter, but only if you do something with the power when you have it",,,,,,"0","52261","1985","256","true","753633468416798720","false","false","false","","1267","Musky Tampons in a state owned uterus","912642584530563074","false","https://pbs.twimg.com/profile_images/842899844830257152/5gWTRA9P_normal.jpg","","39115","https://twitter.com/TamponsForTrump","user","https://x.com/TamponsForTrump","TamponsForTrump","@SpeakerRyan #WhatsToHide... no investigation 4 COI, Russia interference, treason trump #GOPTreason https://t.co/grcIVP7EHr","Tue Jan 03 01:15:57 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/174477930/1390473517","Wed Aug 04 01:07:20 +0000 2010","American lawyer from family purged/murdered by Stalin. If OK for Russia to spy on political opponents in campaign what about now? Russia still trolls for Trump.",,,,,,"0","9851","6177","6649","false","174477930","false","false","false","Boston, Massachusetts","138","Матвій Савицький","814995761578512384","false","https://pbs.twimg.com/profile_images/818710393455398912/wVoRD18E_normal.jpg","","8596","https://twitter.com/4free_Ukraine","user","https://x.com/4free_Ukraine","4free_Ukraine","Michael McFaul is real expert on Russia &amp; vital voice! Trump team only knows investigation is bad for them &amp; will reveal Russia links. https://t.co/qZKs4Ahqf3","Tue Jan 03 00:02:24 +0000 2017"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/3301538361/1432813848","Thu May 28 11:12:55 +0000 2015","Building news,views,social &media site on our news network. Our about page of other sites on twitter can be found here:",,,,,,"0","268","99","624","false","3301538361","false","false","false","England, United Kingdom","2968","#AceTweetNews",,"false","https://pbs.twimg.com/profile_images/603883942509473792/OMv-r9Tp_normal.png","","13949","https://twitter.com/AceTweetNews","user","https://x.com/AceTweetNews","AceTweetNews","Washington Accuses Moscow of Meddling in US Presidential Election in Order to Discredit President-Elect Trump - #WikiLeaks Founder","Tue Jan 03 10:04:55 +0000 2017"
,,,,,,"true","true",,"Sun Dec 27 02:59:56 +0000 2015","My faith in God shapes my perspective, and contemplating the vastness of the universe helps me to see how tiny I am",,,,,,"0","5624","2997","2695","false","4658760276","false","false","false","Dhaka","29648","Habib Rahman",,"false","https://pbs.twimg.com/profile_images/1845536900901388288/o0WbudKg_normal.jpg","","776851","https://twitter.com/imHabibRahman","user","https://x.com/imHabibRahman","imHabibRahman","It's apparently not foreign meddling in a national election. How bad does it actually have get to trigger Americans to wake the fuck up? 3/n","Tue Jan 03 08:22:12 +0000 2017"
,,,,,,"true","true","https://pbs.twimg.com/profile_banners/174773061/1481211777","Wed Aug 04 19:55:46 +0000 2010","Conservative living in NJ who believes in individual liberty, the Constitution, and the Bill of Rights.","rdondes.wordpress.com","https://rdondes.wordpress.com/","0","23","https://t.co/4oBBncIcrx","0","1781","48","55","false","174773061","false","false","false","East Brunswick, NJ","461","Richard Dondes",,"false","https://pbs.twimg.com/profile_images/900107050952384513/oahwK3RQ_normal.jpg","","5845","https://twitter.com/rdondes","user","https://x.com/rdondes","rdondes","Really? What did the Philadelphia Inquirer say about Osama bin Obama meddling quite openly in the last Israeli election? https://t.co/MBN87T2AlQ","Tue Jan 03 06:24:37 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/14098332/1538100496","Sat Mar 08 01:28:32 +0000 2008","I'm just curious.",,,,,,"0","34361","22369","935","true","14098332","true","false","false","San Diego, California","1329","Bridget Ayers",,"false","https://pbs.twimg.com/profile_images/1829243845869010946/QbpyyaNw_normal.jpg","","75380","https://twitter.com/BridgetAyers","user","https://x.com/BridgetAyers","BridgetAyers","Obama tosses 35 Russians out of US, sanctions others for election meddling https://t.co/YqEL5wSPFA","Tue Jan 03 04:17:58 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/708500071378059264/1721586816","Sat Mar 12 03:49:15 +0000 2016","forever fighting fascists",,,,,,"0","94367","671","4925","true","708500071378059264","false","false","false","United States","1103","Rory",,"false","https://pbs.twimg.com/profile_images/1350585711133507584/9-33GHRi_normal.jpg","","31986","https://twitter.com/ciaobellaalora","user","https://x.com/ciaobellaalora","ciaobellaalora","Thank you, @amyklobuchar, @SenJohnMcCain, and @LindseyGrahamSC. We need you to keep the spotlight on Russia's meddling in our election! 🇺🇸","Tue Jan 03 04:06:57 +0000 2017"
,,,,,,"true","true",,"Fri Jun 06 18:14:47 +0000 2014","",,,,,,"0","21180","619","1175","true","2550678733","false","false","false","","1429","Walter mathow",,"false","https://pbs.twimg.com/profile_images/477859716597436416/QN3QOh2-_normal.jpeg","","31384","https://twitter.com/mathow_walter","user","https://x.com/mathow_walter","mathow_walter","You forgot about the election meddling , like the Canadian one to get Harper out and Trudummy the moron in https://t.co/lOF378WIw9","Tue Jan 03 03:29:49 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/52878071/1689246088","Wed Jul 01 22:44:54 +0000 2009","🎶 Let's love ourselves and we can't fail 🎶","linkedin.com/in/kirstinalv","https://www.linkedin.com/in/kirstinalv","0","23","https://t.co/FVegLEdYNZ","0","33083","2458","3194","true","52878071","false","false","false","","989","Kirstin Alvanitakis","1620077166842220544","false","https://pbs.twimg.com/profile_images/1345896664217903106/EC0cBGBZ_normal.jpg","","36348","https://twitter.com/kirstinalv","user","https://x.com/kirstinalv","kirstinalv",".@RepMikeTurner is all worried about Russian meddling in France's elections. Not a peep about interference in OUR election. I wonder why? https://t.co/ABK8sPblNV","Tue Jan 03 02:41:04 +0000 2017"
,,,,,,"false","true",,"Fri Jan 22 14:59:39 +0000 2010","Christian conservative & Patriotic Veteran, Husband, dad, and grandpa. Former Pro 3 & 4 Wheel Champion, roller skater, retired Machinist",,,,,,"0","76912","545","571","true","107432788","true","false","false","Groton, NY","105","Wingnut",,"false","https://pbs.twimg.com/profile_images/1777149285/gettin_it_done_at_lake_champlain_normal.jpg","","20928","https://twitter.com/wwivhobbit","user","https://x.com/wwivhobbit","wwivhobbit","@TuckerCarlson Illegals voting had a direct effect on our election, while Russian meddling was minimal and indirect at best!","Tue Jan 03 02:39:51 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/611987948/1604791885","Mon Jun 18 20:53:10 +0000 2012","Col.1:15-18
pronouns: she, her
De-colonize; No Planet B; ""Democracy is not a state; it's an act.""    (Rep. John Lewis)","…ndicapinternational.nationbuilder.com/mcsearing","https://handicapinternational.nationbuilder.com/mcsearing","0","23","https://t.co/aA0BLvbz5S","0","27226","1491","2820","true","611987948","false","false","false","New York, USA ","496","Margaret C. Searing","1496205388466774022","false","https://pbs.twimg.com/profile_images/1325216943708786689/5cS-NyNM_normal.jpg","","75297","https://twitter.com/MCSearing","user","https://x.com/MCSearing","MCSearing","@SenGillibrand Concerned re Russian election meddling &amp; ties 2 Trump, his taxes, conflicts &amp; refusal 2 divest, racism &amp; fitness #Trumpleaks","Tue Jan 03 02:09:59 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/454099919/1667071005","Tue Jan 03 16:36:02 +0000 2012","Professor of Political Science, Director of Freeman Spogli Institute & Hoover Senior Fellow all at Stanford University. U.S. Ambassador to Russia, 2012-2014.","michaelmcfaul.substack.com","https://michaelmcfaul.substack.com/","0","23","https://t.co/Mdi9pqz26Q","0","47646","857413","2207","true","454099919","true","false","false","Stanford, California","3826","Michael McFaul","1515923887720071168","false","https://pbs.twimg.com/profile_images/1741918696124428288/fnteKZDf_normal.jpg","","129887","https://twitter.com/McFaul","user","https://x.com/McFaul","McFaul","I don't know all the facts about foreign meddling in our 2016 election, but I'd like to know them. That's why we need independent commission","Tue Jan 03 00:42:18 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/38616293/1469550927","Fri May 08 05:48:01 +0000 2009","Very conservative American that has always been proud of my country",,,,,,"0","10568","1330","1194","true","38616293","false","false","false","","150","Deplorable Rena",,"false","https://pbs.twimg.com/profile_images/456110440011923456/eyJ3ulxq_normal.jpeg","","38067","https://twitter.com/Rndgns","user","https://x.com/Rndgns","Rndgns","@TuckerCarlson Too bad you didn't ask your last guest how he felt about Obama meddling in Netanyahu's election? Also taxpayer $ he used too?","Tue Jan 03 00:40:54 +0000 2017"
