"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/description/urls/3/display_url","author/entities/description/urls/3/expanded_url","author/entities/description/urls/3/indices/0","author/entities/description/urls/3/indices/1","author/entities/description/urls/3/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"false","false",,"Wed Jul 01 15:21:44 +0000 2009","Wife, mother & lover of God & Country! So proud of our President Donald J. Trump & how hard he's fought for us & the U.S.A!!  MAGA member for life!!#Trumpwon!🦅",,,,,,,,,,,,,,,,,,,,,,,,,,"0","57895","1552","3625","true","52753361","false","false","false","","128","Tami","1442534301862555654","false","https://pbs.twimg.com/profile_images/1335666526624464897/DgDBlFsp_normal.jpg","","51507","https://twitter.com/MoLucy","user","https://x.com/MoLucy","MoLucy",,"Unreal!!!!!!!!!!!   James Woods Locked Out of Twitter for Posting ‘Election Meddling‘ Meme | Breitbart https://t.co/RuvZfiobmD via @BreitbartNews","Sun Sep 23 23:58:43 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/54177344/1495495790","Mon Jul 06 11:08:39 +0000 2009","",,,,,,,,,,,,,,,,,,,,,,,,,,"0","5440","1251","1536","false","54177344","false","false","false","","1336","N1LUV",,"false","https://pbs.twimg.com/profile_images/1628018369508114432/L0fUmY_V_normal.jpg","","13057","https://twitter.com/MOTORHEAD7519","user","https://x.com/MOTORHEAD7519","MOTORHEAD7519",,"James Woods Locked Out of Twitter for Posting ‘Election Meddling’ Meme https://t.co/q5wsV5AkCO via @BreitbartNews","Sun Sep 23 23:51:09 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/967146438030512129/1525087237","Fri Feb 23 21:17:34 +0000 2018","Common sense is genius dressed in its working clothes. -Ralph Waldo Emerson. Native of Detroit. retired certified welder",,,,,,,,,,,,,,,,,,,,,,,,,,"0","411","8","21","false","967146438030512129","false","false","false","Merica","534","AlbinoViper","1011625933034475520","false","https://pbs.twimg.com/profile_images/967148318626275328/vlGHZasX_normal.jpg","","5084","https://twitter.com/1Albino_Viper","user","https://x.com/1Albino_Viper","1Albino_Viper",,"Hey @Twitter Dont forget to vote Republican. 
Better suspend me now for ""election meddling"" and misleading you, eh?
#FreeJamesWoods","Sun Sep 23 23:49:13 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/1202205522/1362173910","Wed Feb 20 21:37:06 +0000 2013","Bill SCPO/CWO USN RET 1990 ALWAYS A SAILOR American by birth born in Ala by the grace of GOD! PRO #2A & self/family protection! MAGA GETTR & RUMBLE @startpackin",,,,,,,,,,,,,,,,,,,,,,,,,,"0","6183","14696","14063","false","1202205522","false","false","false","NE Fl  Christmas Eve Birth Day","1363","startpackin","1409591842358845441","false","https://pbs.twimg.com/profile_images/1681714572216893444/WWaXV4e3_normal.jpg","","38944","https://twitter.com/startpackin","user","https://x.com/startpackin","startpackin",,"James Woods Locked Out of Twitter for Posting 'Election Meddling' Meme 
 
https://t.co/wA6bmU3yfR","Sun Sep 23 23:48:41 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/16974191/1420135522","Sun Oct 26 01:18:03 +0000 2008","Conservative, cigar and pipe smoking, beer and whiskey drinking, woman loving, golf playing, socialist/commie hating, not politically correct  American.",,,,,,,,,,,,,,,,,,,,,"billck.com","http://www.billck.com","0","23","https://t.co/Cyr83kfUc9","0","88968","2777","1699","true","16974191","false","false","false","Gardner, KS","422","billck",,"false","https://pbs.twimg.com/profile_images/1705743628671348736/k8iA5LNl_normal.jpg","","137156","https://twitter.com/billck","user","https://x.com/billck","billck",,"James Woods Locked Out of Twitter for Posting 'Election Meddling' Meme | Breitbart https://t.co/FTOveBDWwA via @BreitbartNews","Sun Sep 23 23:37:28 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/432486797/1398445827","Fri Dec 09 13:06:47 +0000 2011","Believe in yourself, love, live, laugh.....",,,,,,,,,,,,,,,,,,,,,,,,,,"0","11146","1266","1368","true","432486797","false","false","false","","1406","John J Riotte",,"false","https://pbs.twimg.com/profile_images/414381285071532032/RRb617Lr_normal.jpeg","","39205","https://twitter.com/jriotte001","user","https://x.com/jriotte001","jriotte001",,"James Woods Locked Out of Twitter for Posting ‘Election Meddling‘ Meme | Breitbart https://t.co/24QF6AY39F via @BreitbartNews","Sun Sep 23 23:27:26 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/891425659/1409264536","Fri Oct 19 17:18:29 +0000 2012","#VETERAN, DEFENDING THE REPUBLIC & 2A/NRA/Pro-Life/Pro-Israel, #ALASKA resident 20 yrs, Retired/Writer. ""Your silence is consent!""",,,,,,,,,,,,,,,,,,,,,,,,,,"0","28731","3335","4863","true","891425659","false","false","false","Tennessee, CSA","35","Bear🍀McGinnis",,"false","https://pbs.twimg.com/profile_images/2737766701/5fd7f73386f6c57c63b76cdd469da0dd_normal.jpeg","","32271","https://twitter.com/debearscave","user","https://x.com/debearscave","debearscave",,"James Woods Locked Out of Twitter for Posting ‘Election Meddling’ Meme https://t.co/AruXtVHxxg via @BreitbartNews","Sun Sep 23 23:18:00 +0000 2018"
"false","true",,"Thu May 24 03:41:24 +0000 2018","Politics Politics",,,,,,,,,,,,,,,,,,,,,,,,,,"0","20776","159","117","true","999495555209420800","false","false","false","Mullica Hill, NJ","246","HispanicTrumpSupporter🇺🇸","1226696446738620416","false","https://pbs.twimg.com/profile_images/1094457384674709504/Cgq-3rKo_normal.jpg","","15899","https://twitter.com/HispanicNj","user","https://x.com/HispanicNj","HispanicNj",,"@DRUDGE_REPORT @MarkFanPatriot Does anyone know for how long?  @jack @Twitter are targeting high profile conservatives.  They are meddling in the midterm election.   @RepMattGaetz @ChuckGrassley @JudicialWatch  @senjudiciary","Sun Sep 23 23:09:23 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/3904797205/1608040559","Thu Oct 15 16:59:13 +0000 2015","🇨🇦Toronto🇨🇦 Funny Hat & Carnival Beard Cults fair game",,,,,,,,,,,,,,,,,,,,,"…ialmobilicityconsumerpage.blogspot.ca","http://theunofficialmobilicityconsumerpage.blogspot.ca/","0","23","https://t.co/QQX2wHXuv0","0","3550","148","962","false","3904797205","false","false","false","theUnOp2012-2024© CitReq","5867","The Unofficial Page TO",,"false","https://pbs.twimg.com/profile_images/1208550646443651072/jjYA7HTp_normal.jpg","","25630","https://twitter.com/TheUnOfficialPg","user","https://x.com/TheUnOfficialPg","TheUnOfficialPg",,"@globepolitics US already moved on.  Let's talk about.....election meddling!😂","Sun Sep 23 23:09:19 +0000 2018"
"false","true",,"Tue Apr 29 21:58:15 +0000 2008","Dad, Husband, Science Nerd, Tech Junkie, Retired Science Teacher and Education Technology Guru, Texas Aggie '80",,,,,,,,,,,,,,,,,,,,,,,,,,"0","816","2406","2125","false","14591652","false","false","false","Manvel, TX 77578","17808","Mark Dunk",,"false","https://pbs.twimg.com/profile_images/378800000540642588/2ab7f95af34aa5c288e0f8b7dbe9fd99_normal.jpeg","","94479","https://twitter.com/unklar","user","https://x.com/unklar","unklar",,"James Woods Locked Out of Twitter for Posting 'Election Meddling' Meme | Breitbart https://t.co/oVIwL7c167","Sun Sep 23 23:00:14 +0000 2018"
