author/affiliatesHighlightedLabel/label/badge/url,author/affiliatesHighlightedLabel/label/description,author/affiliatesHighlightedLabel/label/url/url,author/affiliatesHighlightedLabel/label/url/urlType,author/affiliatesHighlightedLabel/label/userLabelDisplayType,author/affiliatesHighlightedLabel/label/userLabelType,author/canDm,author/canMediaTag,author/coverPicture,author/createdAt,author/description,author/entities/description/urls/0/display_url,author/entities/description/urls/0/expanded_url,author/entities/description/urls/0/indices/0,author/entities/description/urls/0/indices/1,author/entities/description/urls/0/url,author/entities/description/urls/1/display_url,author/entities/description/urls/1/expanded_url,author/entities/description/urls/1/indices/0,author/entities/description/urls/1/indices/1,author/entities/description/urls/1/url,author/entities/description/urls/2/display_url,author/entities/description/urls/2/expanded_url,author/entities/description/urls/2/indices/0,author/entities/description/urls/2/indices/1,author/entities/description/urls/2/url,author/entities/description/urls/3/display_url,author/entities/description/urls/3/expanded_url,author/entities/description/urls/3/indices/0,author/entities/description/urls/3/indices/1,author/entities/description/urls/3/url,author/entities/url/urls/0/display_url,author/entities/url/urls/0/expanded_url,author/entities/url/urls/0/indices/0,author/entities/url/urls/0/indices/1,author/entities/url/urls/0/url,author/fastFollowersCount,author/favouritesCount,author/followers,author/following,author/hasCustomTimelines,author/id,author/isBlueVerified,author/isTranslator,author/isVerified,author/location,author/mediaCount,author/name,author/pinnedTweetIds/0,author/possiblySensitive,author/profilePicture,author/status,author/statusesCount,author/twitterUrl,author/type,author/url,author/userName,author/verifiedType,author/withheldInCountries/0,text,createdAt,att,stance
,,,,,,True,True,https://pbs.twimg.com/profile_banners/1418487238866788357/1670210946,Fri Jul 23 08:25:17 +0000 2021,"Libertarian-Right ( Yes I like Hoppe ) guy who makes terrible videos.
See my linktree below for content and dank merch.",,,,,,,,,,,,,,,,,,,,,linktr.ee/mentiswave,https://linktr.ee/mentiswave,0.0,23.0,https://t.co/9pfao9GJ5K,0,877,7704,259,False,1418487238866788357,True,False,False,,1282,MentisWave 🐍🚁,1.8357181494148058e+18,False,https://pbs.twimg.com/profile_images/1429652116738437120/NwxZ_m4W_normal.jpg,,4022,https://twitter.com/MentisWave,user,https://x.com/MentisWave,MentisWave,,,"Here is my election results prediction. 

Trump will most likely win the election, but lose the popular vote. This will cause lots of butthurt, but it's expected because Harris heavily appeals to the coastal liberal mentality ( +24 in CA ) but doesn't have as wide of support as Trump has. And the reality is the EC is what matters. She can still win and there is definitely a realistic chance this could swing either way, but Trump just has a bit more wiggle room in the Electoral College.

 Her only chance lies in the fact that these states are polling only slightly in favor of Trump, so she only needs to take some away from Trump to win. But Trump doesn't need to take any of her ""leans"" states to win, and that's a big oof.

( I base these results by looking at multiple polls and going by the number of polls that favor a candidate, while slightly weighing against certain pollsters known to be consistently wrong. )",Thu Oct 31 23:53:34 +0000 2024,0.14307359307359307,Support
,,,,,,True,False,https://pbs.twimg.com/profile_banners/358545917/1727203462,Sat Aug 20 03:02:29 +0000 2011,"America was able to free itself from a hostile, occupying regime, due to freedom of speech and the right to bear arms. The UK is a prison colony.",,,,,,,,,,,,,,,,,,,,,MikeCernovich.Substack.com,http://MikeCernovich.Substack.com,0.0,23.0,https://t.co/DOjmWxh2RJ,0,91437,1347305,3911,True,358545917,True,False,False,United States,13219,Cernovich,1.8634033734642898e+18,False,https://pbs.twimg.com/profile_images/1788999802526789632/4xyOtQLZ_normal.jpg,,260723,https://twitter.com/Cernovich,user,https://x.com/Cernovich,Cernovich,,,"I expected Trump to win in 2016 and lose in 2020. 

He’s ahead.

It’s not in the bag, but we can win this thing resoundingly.",Thu Oct 31 23:44:27 +0000 2024,0.5,Support
,,,,,,False,False,https://pbs.twimg.com/profile_banners/1550906509663408128/1730939751,Sat Jul 23 18:12:23 +0000 2022,Married 51 years! 4 kids 6 GK LOVE MY COUNTRY! I love Jesus 🙏🏻 #ULTRAMAGA ! #Fb @DineshDSouza @JessieJaneDuff #HarmeetDhillon @pnjaban 🚫DMS #TrumpWon 🚫crypt,,,,,,,,,,,,,,,,,,,,,,,,,,0,85953,119666,49341,True,1550906509663408128,True,False,False,,16167,KellyCurrie45,1.5852775158991462e+18,False,https://pbs.twimg.com/profile_images/1607403957797933056/F0PKILGR_normal.jpg,,235584,https://twitter.com/KaCurrie_45,user,https://x.com/KaCurrie_45,KaCurrie_45,,,@Tim_Walz Here we go walzing to the end watching Trump win bigly ! https://t.co/AbnAE32dfj,Thu Oct 31 23:36:37 +0000 2024,0.4,Support
,,,,,,True,False,https://pbs.twimg.com/profile_banners/887910415606267904/1617414156,Thu Jul 20 05:41:54 +0000 2017,"elections, polls, and modeling @SplitTicket_. AI/software engineer; @cal alum + lecturer; Chelsea ⚽, Sharks 🏒, Giants ⚾. ✉️ lakshya@splitticket.org. he/him",,,,,,,,,,,,,,,,,,,,,split-ticket.org,http://www.split-ticket.org/,0.0,23.0,https://t.co/dAq4WDhnhs,0,162718,74345,2324,True,887910415606267904,True,False,False,SF Bay Area,1884,Lakshya Jain,,False,https://pbs.twimg.com/profile_images/1863324717480132608/ur6gTUTS_normal.jpg,,69594,https://twitter.com/lxeagle17,user,https://x.com/lxeagle17,lxeagle17,,,"Good reminder to everyone: One party is not just going to sit out an entire presidential election and you should be wary of people who claimed (or continue to claim) this sort of thing, unless you earnestly believe Trump will win New Jersey.",Thu Oct 31 23:33:05 +0000 2024,0.22727272727272724,Support
,,,,,,True,True,https://pbs.twimg.com/profile_banners/255812611/1713246410,Tue Feb 22 02:58:46 +0000 2011,"#1 bestselling author

Author of 3 New York Times Critics Choice Best Books of the Year

#WinslowDigitalArmy  

Find great books by following: @WinslowBookClub",,,,,,,,,,,,,,,,,,,,,donwinslow.com,http://www.donwinslow.com,0.0,23.0,https://t.co/8DQHpvcnzK,0,275893,884123,36820,True,255812611,True,False,False,Tweets are just my opinion,13366,Don Winslow,1.8553433474284588e+18,False,https://pbs.twimg.com/profile_images/1647525880430993409/60HaCvHF_normal.jpg,,124993,https://twitter.com/donwinslow,user,https://x.com/donwinslow,donwinslow,,,"This shocking expose of Donald Trump is currently tracking to hit 1 MILLION VIEWS faster than almost any other video we have done!

KEEP RETWEETING.
QUOTE TWEET IF YOU HAVE ALREADY TWEETED.
LET'S WIN THIS TOGETHER!!",Thu Oct 31 23:31:16 +0000 2024,0.0390625,Support
,,,,,,True,False,https://pbs.twimg.com/profile_banners/14102215/1710551922,Sat Mar 08 18:43:43 +0000 2008,Dem Strategist | “Social guru.” — 60 Minutes | “Always online.” — The New Yorker | “Didn’t immediately respond to request for comment.” — Fox News,,,,,,,,,,,,,,,,,,,,,bio.site/keithedwards,http://bio.site/keithedwards,0.0,23.0,https://t.co/Fmyhw7f7Tu,0,36026,143657,1071,True,14102215,True,False,False,"Washington, DC",3359,Keith Edwards is on Bluesky,1.8633750969554455e+18,False,https://pbs.twimg.com/profile_images/1702508399752003584/6iYwaLGB_normal.jpg,,17464,https://twitter.com/keithedwards,user,https://x.com/keithedwards,keithedwards,,,"I believe Kamala Harris is going to win. 

I believe Donald Trump will declare victory even when it’s clear he’s lost. 

And I believe he will try to steal the election again since he never faced any consequences for attempting to steal it the first time.",Thu Oct 31 23:23:51 +0000 2024,0.3833333333333333,Support
,,,,,,False,True,https://pbs.twimg.com/profile_banners/1452372184215793675/1728427693,Sun Oct 24 20:31:52 +0000 2021,One day every one will know,,,,,,,,,,,,,,,,,,,,,,,,,,0,1365,157,205,False,1452372184215793675,True,False,False,,646,🐺 Anthony 🐺📈📉📈📈📈🚀🚀,,False,https://pbs.twimg.com/profile_images/1843785451854819328/h7FarTmS_normal.jpg,,1701,https://twitter.com/Anthony60333996,user,https://x.com/Anthony60333996,Anthony60333996,,,"@mrsolana69 None of us will be millionaires in crypto if Trump don’t win.

$FWSS is a meme coin based off of one of the worst televised gaffes of all time. 

9BrGJXPhiZGkQKG5E6PWcbryy4Awj5RymmGKE1uhpump

Tim Walz is a walking meme generator.
@FrensWifCoin",Thu Oct 31 23:23:42 +0000 2024,0.09999999999999998,Support
,,,,,,True,True,https://pbs.twimg.com/profile_banners/1722330307892744192/1711821919,Wed Nov 08 19:08:49 +0000 2023,Crypto invest since 2018 / BingX partner 👉 https://t.co/lkxQEdZLSK $500 bonus,bingx.com/invite/C3WHTR/,https://bingx.com/invite/C3WHTR/,43.0,66.0,https://t.co/lkxQEdZLSK,,,,,,,,,,,,,,,,t.me/SenseiCommu,http://t.me/SenseiCommu,0.0,23.0,https://t.co/3ZoXdbzIQR,0,3578,70772,149,False,1722330307892744192,True,False,False,,9905,Sensei,1.8633612364542487e+18,False,https://pbs.twimg.com/profile_images/1768669945192136704/eImtL3gp_normal.jpg,,46203,https://twitter.com/SenseiBR_btc,user,https://x.com/SenseiBR_btc,SenseiBR_btc,,,"5 days until US elections.

5 days until Trump win.

5 days until Bull Run.",Thu Oct 31 23:09:35 +0000 2024,0.8,Support
,,,,,,True,False,https://pbs.twimg.com/profile_banners/17980523/1723738910,Tue Dec 09 01:54:21 +0000 2008,"CEO of YourVoice™ Studios, Inc.  Host of YourVoice America.  This account is owned and managed by Bill Mitchell and has no direct affiliation with Donald Trump.",,,,,,,,,,,,,,,,,,,,,yourvoicenews.com,https://www.yourvoicenews.com,0.0,23.0,https://t.co/fXjbL2Wzv7,0,38910,444969,14166,True,17980523,True,False,False,Virginia,18029,Bill Mitchell,1.863167948543742e+18,False,https://pbs.twimg.com/profile_images/1667984522732773376/e8R6vMh9_normal.jpg,,266704,https://twitter.com/mitchellvii,user,https://x.com/mitchellvii,mitchellvii,,,CNN lays out all the reasons why Trump is going to win. This is a very compelling argument. https://t.co/mfj1U3ekqN,Thu Oct 31 22:53:53 +0000 2024,0.595,Support
,,,,,,True,True,https://pbs.twimg.com/profile_banners/1427476600744988672/1668916528,Tue Aug 17 03:47:58 +0000 2021,"🗳️ Polling and Prediction Markets Aggregator
📊 Live, unbiased 2024 election forecasts: https://t.co/rDzcdHFUG2",polymarket.com/elections,https://polymarket.com/elections,87.0,110.0,https://t.co/rDzcdHFUG2,,,,,,,,,,,,,,,,,,,,,0,30695,221244,100,True,1427476600744988672,True,False,False,,5938,InteractivePolls,,False,https://pbs.twimg.com/profile_images/1436720319641817088/gEJZWcv1_normal.jpg,,8075,https://twitter.com/IAPolls2022,user,https://x.com/IAPolls2022,IAPolls2022,,,"#NEW - @NateSilver538 Forecast (10/31)

Chance of winning 
🟥 Trump: 55.4% (highest since 9/17)
🟦 Harris: 44.2%
——
Swing States: win probability 

Pennsylvania - 🔴 Trump 60-40%
Arizona - 🔴 Trump 72-28%
Georgia - 🔴 Trump 74-26%
North Carolina - 🔴 Trump 72-28%
Nevada - 🔴 Trump 54-46%
Wisconsin - 🔵 Harris 55-45%
Michigan - 🔵 Harris 59-41%
——
@Polymarket odds
🟥 Trump: 63%
🟦 Harris: 37%

Polymarket swing states odds 👇
https://t.co/rDzcdHGsvA",Thu Oct 31 22:48:29 +0000 2024,0.4787878787878788,Support
