author/affiliatesHighlightedLabel/label/badge/url,author/affiliatesHighlightedLabel/label/description,author/affiliatesHighlightedLabel/label/url/url,author/affiliatesHighlightedLabel/label/url/urlType,author/affiliatesHighlightedLabel/label/userLabelDisplayType,author/affiliatesHighlightedLabel/label/userLabelType,author/canDm,author/canMediaTag,author/coverPicture,author/createdAt,author/description,author/entities/description/urls/0/display_url,author/entities/description/urls/0/expanded_url,author/entities/description/urls/0/indices/0,author/entities/description/urls/0/indices/1,author/entities/description/urls/0/url,author/entities/description/urls/1/display_url,author/entities/description/urls/1/expanded_url,author/entities/description/urls/1/indices/0,author/entities/description/urls/1/indices/1,author/entities/description/urls/1/url,author/entities/description/urls/2/display_url,author/entities/description/urls/2/expanded_url,author/entities/description/urls/2/indices/0,author/entities/description/urls/2/indices/1,author/entities/description/urls/2/url,author/entities/url/urls/0/display_url,author/entities/url/urls/0/expanded_url,author/entities/url/urls/0/indices/0,author/entities/url/urls/0/indices/1,author/entities/url/urls/0/url,author/fastFollowersCount,author/favouritesCount,author/followers,author/following,author/hasCustomTimelines,author/id,author/isBlueVerified,author/isTranslator,author/isVerified,author/location,author/mediaCount,author/name,author/pinnedTweetIds/0,author/possiblySensitive,author/profilePicture,author/status,author/statusesCount,author/twitterUrl,author/type,author/url,author/userName,author/verifiedType,author/withheldInCountries/0,text,createdAt,att,stance
,,,,,,True,True,https://pbs.twimg.com/profile_banners/1686228946986119168/1690910102,Tue Aug 01 04:15:18 +0000 2023,#1 Source For PARODY Hip-Hop News | Follow For Viral Content | These are fake stories | Not affiliated with @DailyLoud 🙅‍♂️🙅‍♀️,,,,,,,,,,,,,,,,,,,,,0,135,9456,133,False,1686228946986119168,True,False,False,,108,Daily Noud,1.855690712831931e+18,False,https://pbs.twimg.com/profile_images/1706163195436503048/ja-p14e4_normal.png,,112,https://twitter.com/DailyNoud,user,https://x.com/DailyNoud,DailyNoud,,,Ken Carson received 4 write-in votes in Vermont for the 2024 U.S. presidential election https://t.co/lufRtEvkwl,Tue Nov 12 21:37:31 +0000 2024,0.0,Support
,,,,,,False,True,https://pbs.twimg.com/profile_banners/1520325324457787393/1726903372,Sat Apr 30 08:53:19 +0000 2022,HarrisWalz2024!  Democrat!  Fascism fighter! Women's rights are human rights! Pro Choice! Anti-theist! BLM! LGBTQ ally! Animal rights!  I stand with Ukraine!,,,,,,,,,,,,,,,,,,,,,0,202992,75796,28573,False,1520325324457787393,False,False,False,,372,Michelle Baker,,False,https://pbs.twimg.com/profile_images/1829516839627403264/iCCMJu2O_normal.jpg,,152969,https://twitter.com/Michell33650674,user,https://x.com/Michell33650674,Michell33650674,,,"RUSSIA IS A TERRORIST STATE AND AMERICA'S ENEMY.  TRUMP, MUSK, AND THE GOP WORK FOR RUSSIA'S LEADER, PUTIN.  PUTIN HELPED THEM RIG AMERICA'S 2024 PRESIDENTIAL ELECTION AND IS EXPECTING FAVORS IN RETURN.  Do you understand?  And you're ""shy"" about DEMANDING an INVESTIGATION?",Tue Nov 12 17:33:02 +0000 2024,0.5,Support
,,,,,,True,False,https://pbs.twimg.com/profile_banners/931286316/1564355576,Wed Nov 07 05:23:07 +0000 2012,"I helped defeat Hillary, Kamala, & organized the Baltimore cleanup. We delivered Pennsylvania for President Trump. Check out ➡️ @EarlyVoteAction MAGA 🤝 MAHA",,,,,,,,,,,,,,,,EarlyVoteAction.com,http://EarlyVoteAction.com,0.0,23.0,https://t.co/GhyXCKkoDK,0,535771,2130790,60642,True,931286316,True,False,False,Make Kindness Cool Again,15492,ThePersistence,1.8593510997880998e+18,False,https://pbs.twimg.com/profile_images/1321124227215491072/pIC0lG5M_normal.jpg,,137918,https://twitter.com/ScottPresler,user,https://x.com/ScottPresler,ScottPresler,,,"Pennsylvania News

Here are the current voter registration numbers after the 2024 presidential election:

🔵 3,998,638
🔴 3,712,100
🟡 1,116,714 

🔵 - 🔴 = 286,538

If you remove inactive voters, 🔵 - 🔴 = 131,693

Our goal is a plurality of registered Republicans in PA by 2028.",Tue Nov 12 15:37:53 +0000 2024,0.0,Support
,,,,,,True,False,https://pbs.twimg.com/profile_banners/32804484/1604824524,Sat Apr 18 05:35:53 +0000 2009,SAVE AMERICA NOW,,,,,,,,,,,,,,,,,,,,,0,33345,262996,60677,False,32804484,True,False,False,"Cold Spring, NY",17605,Paul A. Szypula 🇺🇸,1.8628748491959954e+18,False,https://pbs.twimg.com/profile_images/1325363057556590594/AvCcEAo5_normal.jpg,,89785,https://twitter.com/Bubblebathgirl,user,https://x.com/Bubblebathgirl,Bubblebathgirl,,,"Even if the hush money case against Trump gets dismissed, that doesn’t mean the lawfare against him is forgotten.

Our government, DAs, and judges abused our judicial system in order to interfere in the 2024 presidential election.

They need to face legal consequences. https://t.co/R5LF0mrBMH",Tue Nov 12 15:37:09 +0000 2024,0.056249999999999994,Support
,,,,,,True,True,https://pbs.twimg.com/profile_banners/498532565/1698282026,Tue Feb 21 04:44:24 +0000 2012,seeking solution oriented individuals.,,,,,,,,,,,,,,,,,,,,,0,246871,2307,2324,True,498532565,False,False,False,,1429,NC,1.8547136305471736e+18,False,https://pbs.twimg.com/profile_images/505882057038635008/jQTzMJ7v_normal.jpeg,,44734,https://twitter.com/nchambers2,user,https://x.com/nchambers2,nchambers2,,,"Sources say viewership for MSNBC and CNN has significantly declined since the 2024 presidential election. Both networks experienced a notable drop in ratings compared to previous election cycles. For instance, CNN's viewership on election night was down by 44% compared to 2020.",Tue Nov 12 14:31:09 +0000 2024,0.27055555555555555,Support
,,,,,,False,True,https://pbs.twimg.com/profile_banners/1217198127591186437/1732478258,Tue Jan 14 21:34:36 +0000 2020,"America’s source for fact-based, unbiased news for all America.
📺 Find us on your TV: https://t.co/OfH5oBlZNI",newsnationnow.com/joinus/,http://newsnationnow.com/joinus/,86.0,109.0,https://t.co/OfH5oBlZNI,,,,,,,,,,,newsnationnow.com/app/,https://www.newsnationnow.com/app/,0.0,23.0,https://t.co/bcUlYrApLY,0,651,228215,216,True,1217198127591186437,True,False,False,United States,25413,NewsNation,,False,https://pbs.twimg.com/profile_images/1790387697258770432/vx0E666D_normal.jpg,,105276,https://twitter.com/NewsNation,user,https://x.com/NewsNation,NewsNation,Business,,"Using his highly accurate “13 keys,” presidential historian Allan Lichtman predicted Kamala Harris would win the 2024 election. Following Donald Trump’s win, Lichtman mainly attributed his incorrect prediction to online disinformation.

More: https://t.co/Do9CANRclZ @ChrisCuomo https://t.co/z2Nfp3uZ51",Tue Nov 12 13:44:56 +0000 2024,0.4444444444444444,Support
,,,,,,False,False,https://pbs.twimg.com/profile_banners/15335534/1694008354,Sun Jul 06 20:49:38 +0000 2008,"NR senior political correspondent, Washington Post contributing columnist. Author. Three Martini Lunch podcast. Intermittent cable news talking head. #TJAMS",,,,,,,,,,,,,,,,amazon.com/Jim-Geraghty/e…,http://www.amazon.com/Jim-Geraghty/e/B001H9TDOW,0.0,23.0,https://t.co/9tMffzdmC8,0,20551,116144,1367,True,15335534,True,False,False,"Authenticity Woods, Virginia.",22750,Jim Geraghty,1.808490234495095e+18,False,https://pbs.twimg.com/profile_images/1856058316784304128/BCl3XYWo_normal.jpg,,132032,https://twitter.com/jimgeraghty,user,https://x.com/jimgeraghty,jimgeraghty,,,"Raise your hand if you expected the racial demographic that would be most supportive of Donald Trump in the 2024 presidential election to be… American Indians. (That’s the terminology in the exit poll, don’t blame me if you prefer “Native American.”)

https://t.co/j52Cd07lOD",Tue Nov 12 13:41:07 +0000 2024,0.18,Support
,,,,,,True,True,https://pbs.twimg.com/profile_banners/1601768561650941954/1670865776,Sun Dec 11 02:39:30 +0000 2022,Follow my newsletter: https://t.co/YkWYmR9j5P,GeneralMCNews.substack.com,http://GeneralMCNews.substack.com,22.0,45.0,https://t.co/YkWYmR9j5P,,,,,,,,,,,t.me/GeneralMCNews,http://t.me/GeneralMCNews,0.0,23.0,https://t.co/tpyj8lUezJ,0,0,112594,0,False,1601768561650941954,True,False,False,USA,4161,The General,1.6763220747117855e+18,False,https://pbs.twimg.com/profile_images/1601768744669282304/S-WFCxAC_normal.jpg,,6660,https://twitter.com/GeneralMCNews,user,https://x.com/GeneralMCNews,GeneralMCNews,,,BREAKING: Ratings for MSNBC and CNN have tanked since Donald Trump steamrolled Kamala Harris in the 2024 presidential election. https://t.co/GkxOQ2PdQZ,Tue Nov 12 13:29:26 +0000 2024,0.0,Support
,,,,,,True,True,https://pbs.twimg.com/profile_banners/568483367/1684200186,Tue May 01 19:45:07 +0000 2012,Trump is my President! Zelensky is a fraud! Klaus Schwab is evil! No jab! IFBAP! Jeff Beck was the love of my life…,,,,,,,,,,,,,,,,,,,,,0,187191,71572,49547,True,568483367,True,False,False,searching for josette,45110,josette caruso,,False,https://pbs.twimg.com/profile_images/1658281255748640769/v4ijdn7J_normal.jpg,,101033,https://twitter.com/josettecaruso,user,https://x.com/josettecaruso,josettecaruso,,,"Wow! The Democrats will say anything EXCEPT that they lost by a LANDSLIDE!

Left-wing conspiracy theorists have claimed the 2024 US presidential election was “stolen”, as posts falsely alleging Elon Musk’s Starlink satellite network was used to manipulate the result spread on social media.
Claims that 20m votes in the election have “disappeared” or that Starlink was used to interfere with vote-counting machines have been shared by thousands of people across X, Threads and TikTok. A nine-minute video claiming states had used “Starlink in order to tally up or count ballots” had more than 100,000 likes, 55,000 shares and had been viewed almost 900,000 times on TikTok. The video falsely claimed: “This is why the numbers don’t make sense.”
Similar claims that Mr Musk, a Trump ally, may have used Starlink to tamper with the election have spread widely across Threads, the social network owned by Mark Zuckerberg’s Meta, as well as on X, which is owned by Mr Musk and was previously known as Twitter.
On Threads, one post with more than 42,000 views and 840 shares claimed Mr Musk “knew who won four hours earlier than we did”.
It alleged Starlink had been “exploding” communications satellites, with Mr Musk “destroying the evidence”. Another lengthy post with more than 370,000 views and 6,300 shares claimed that voting had been hacked “at the tabulation level”. Hashtags such as “TrumpCheated” have been shared across Threads and X, while calls for recounts have been shared with the phrase “SwingStateHandRecount”. There is no evidence to support the claims spreading on social media. US voting machines are typically disconnected from the internet in order to prevent interference.
Last week Jen Easterly, director of the US Cybersecurity and Infrastructure Security Agency, said there was “no evidence of any malicious activity that had a material impact on the security or integrity of our election infrastructure”.
Allegations that there are millions of “missing” votes have been spread by both Democrats unhappy about Trump’s victory and Republicans who claimed the theories vindicate their concerns about the 2020 result. The discrepancy in the number of votes cast is mostly down to slow vote counting in California, which as of Monday had only processed around 74pc of ballots despite being called for Kamala Harris days ago.
Some social media posts spreading the conspiracy claims have been accompanied by fact-checks debunking the claim, such as a post on X that had repeated the Starlink claims.
On Friday, disinformation analysts at NewsGuard reported that in the hours after it became apparent that Mr Trump had won “Left-leaning social media users claimed that the apparent momentum behind Kamala Harris before the election made it impossible for her to lose, so the only explanation was widespread fraud.”
Alex Stamos, chief information security officer at SentinelOne and a former executive at Facebook, said in a post on Threads: “This election was not stolen. Neither was 2020.",Tue Nov 12 13:04:08 +0000 2024,0.06039496527777778,Support
,,,,,,False,True,https://pbs.twimg.com/profile_banners/853318060052291584/1723933151,Sat Apr 15 18:44:14 +0000 2017,"I post interesting news and opinion stories, for @scottadamssays and for you. Support my work and get more content at https://t.co/zIi9RVC0OJ!",owengregorian.locals.com,https://owengregorian.locals.com,118.0,141.0,https://t.co/zIi9RVC0OJ,,,,,,,,,,,owengregorian.locals.com,https://owengregorian.locals.com,0.0,23.0,https://t.co/zIi9RVC0OJ,0,170881,74492,7578,True,853318060052291584,True,False,False,United States,12712,Owen Gregorian,1.8603788905998175e+18,False,https://pbs.twimg.com/profile_images/870041464843227139/GSuKAV4t_normal.jpg,,95461,https://twitter.com/OwenGregorian,user,https://x.com/OwenGregorian,OwenGregorian,,,"MSNBC and CNN Ratings Tank After Trump Steamrolls Kamala Harris | Outkick

Viewership for MSNBC and CNN has tanked since Donald Trump steamrolled Kamala Harris in the 2024 presidential election, an election result the two networks ensured viewers would result in the end of democracy.

Mediaite obtained viewership data from Thursday to highlight the concerns both channels face. For the day, MSNBC averaged 596,000 viewers while CNN recorded just 419,000.

That's a decline of 23% for MSNBC and 40% for CNN year over year. But the primetime numbers are even more concerning. While CNN saw a 30% decline, MSNBC declined an unprecedented 54%.

""MSNBC host Alex Wagner had her lowest rated show ever, in terms of total viewers, while Chris Hayes’s show brought in its worst numbers since May of 2016,"" Mediaite reports.

For comparison, Fox News averaged 2.6 million viewers, a 60% increase from 2023.

CNN and MSNBC's futures are bleak.

The two networks maintained relevancy during Trump's first term by aggressively promoting the Russia hoax. Though the networks could try to manufacture another phony scandal, who would believe them?

Trump's decisive victory demonstrated that the left-wing cable news networks have lost their influence. CNN and MSNBC exhausted every resource at their disposal to stop Donald Trump from achieving victory, eventually stooping to a plot to depict him as the second coming of Adolf Hitler, the most ruthless dictator in modern world history.

It didn't work. The lies, the hysteria, and the besmirchment only made Trump more popular and sunk CNN and MSNBC deeper.

Read more:

https://t.co/yzv7f8AY4C",Tue Nov 12 12:05:02 +0000 2024,0.016666666666666673,Support
