author/affiliatesHighlightedLabel/label/badge/url,author/affiliatesHighlightedLabel/label/description,author/affiliatesHighlightedLabel/label/url/url,author/affiliatesHighlightedLabel/label/url/urlType,author/affiliatesHighlightedLabel/label/userLabelDisplayType,author/affiliatesHighlightedLabel/label/userLabelType,author/canDm,author/canMediaTag,author/coverPicture,author/createdAt,author/description,author/entities/description/urls/0/display_url,author/entities/description/urls/0/expanded_url,author/entities/description/urls/0/indices/0,author/entities/description/urls/0/indices/1,author/entities/description/urls/0/url,author/entities/description/urls/1/display_url,author/entities/description/urls/1/expanded_url,author/entities/description/urls/1/indices/0,author/entities/description/urls/1/indices/1,author/entities/description/urls/1/url,author/entities/url/urls/0/display_url,author/entities/url/urls/0/expanded_url,author/entities/url/urls/0/indices/0,author/entities/url/urls/0/indices/1,author/entities/url/urls/0/url,author/fastFollowersCount,author/favouritesCount,author/followers,author/following,author/hasCustomTimelines,author/id,author/isBlueVerified,author/isTranslator,author/isVerified,author/location,author/mediaCount,author/name,author/pinnedTweetIds/0,author/possiblySensitive,author/profilePicture,author/status,author/statusesCount,author/twitterUrl,author/type,author/url,author/userName,author/verifiedType,text,createdAt,att,stance
,,,,,,True,True,https://pbs.twimg.com/profile_banners/1574501804041289748/1717163372,Mon Sep 26 20:51:15 +0000 2022,Alea Iacta Est,,,,,,,,,,,,,,,,0,71944,1625,242,True,1574501804041289748,False,False,False,The Eternal City,1543,Gaius Julius Caesar,1.8552627216100516e+18,False,https://pbs.twimg.com/profile_images/1796539467433447424/gKvKZUr__normal.jpg,,64581,https://twitter.com/16dalesdeadbug,user,https://x.com/16dalesdeadbug,16dalesdeadbug,,"Pam Bondi is a huge loyalist to Trump. Supported the voter fraud investigations in 2020, was part of his impeachment defense, and served on the America First Policy Institute as a lawyer supporting election integrity lawsuits. 

Solid pick https://t.co/cm7kmoqBDV",Thu Nov 21 23:41:34 +0000 2024,0.22500000000000003,Support
,,,,,,True,True,https://pbs.twimg.com/profile_banners/32002507/1674495099,Thu Apr 16 17:22:43 +0000 2009,"Chairman of O’Leary Ventures and Beanstox, 5 X Emmy Shark Tank's Mr. Wonderful, Wine Maker, Watch, Crypto, AI & Guitar Guy, Photographer & Chef",,,,,,,,,,,kevinoleary.com,http://www.kevinoleary.com,0.0,23.0,https://t.co/qKIZuGoX0j,0,501,1035904,1307,True,32002507,True,False,False,"Miami Beach, FL",3434,Kevin O'Leary aka Mr. Wonderful,,False,https://pbs.twimg.com/profile_images/1704224672621953024/eAk7qGMU_normal.jpg,,13551,https://twitter.com/kevinolearytv,user,https://x.com/kevinolearytv,kevinolearytv,,"I love it when U.S. energy policy gets aligned with the Canadian energy sector. Trump has a movement up in Canada with Premier Smith of Alberta, who’s a real rockstar. She’s talking with all the governors to make this thing happen. I think we’re going to see it get revived. https://t.co/H8dieXCn5E",Thu Nov 21 23:24:09 +0000 2024,0.35,Support
,,,,,,False,True,https://pbs.twimg.com/profile_banners/1606734564734402561/1733068590,Sat Dec 24 19:32:42 +0000 2022,"🇺🇸💥#𝐏𝐚𝐭𝐫𝐢𝐨𝐭𝐖𝐚𝐫𝐫𝐢𝐨𝐫𝐬💥🇺🇸 Patriotism is supporting your country all the time, and your government when it deserves it - Mark Twain",,,,,,,,,,,,,,,,0,37200,120528,65518,True,1606734564734402561,True,False,False,United States,4182,🇺🇸𝐃𝐔𝐓𝐂𝐇🇺🇸,,False,https://pbs.twimg.com/profile_images/1863250832470249472/l0rtdye9_normal.jpg,,184854,https://twitter.com/pr0ud_americans,user,https://x.com/pr0ud_americans,pr0ud_americans,,"🚨 BREAKING: Reports suggest DHS Secretary Alejandro Mayorkas is negotiating his exit, seeking immunity from potential investigations by a Trump administration. This move could reflect concerns over past policy decisions or anticipation of political shifts. Awaiting official statements for more clarity on this significant development.",Thu Nov 21 22:59:20 +0000 2024,0.125,Support
,,,,,,True,False,https://pbs.twimg.com/profile_banners/36638077/1589647127,Thu Apr 30 11:02:41 +0000 2009,"Open-minded Conservative. Strive for intellectual honesty. Gen-X common sense. Politics, Science, History, Geopolitics, Climate. Smarter than the average bear😉",,,,,,,,,,,,,,,,0,20775,83373,1262,True,36638077,True,False,False,,5564,Gummi,1.7726252952641006e+18,False,https://pbs.twimg.com/profile_images/1850153591966945280/9cRVqHwk_normal.jpg,,44192,https://twitter.com/gummibear737,user,https://x.com/gummibear737,gummibear737,,"I endorsed him, but I’m getting very queasy about the RFK Jr nomination

He might be a huge liability for Trump and his agenda

Republicans used the death of a young woman, Laken Riley, to very effective prosecute their case against Biden’s border policy

Dems will similarly place the death of every unvaccinated child on Trump and his selection of RFK Jr and the vaccine skepticism he promotes

We’re talking about nonstop coverage of the mothers of dead toddlers talking about how they didn’t vaccinate their child because they listened to RFK jr

And statistically speaking, this is going to happen far more often than the murder of young women by illegals

I’m telling you this is going to happen because that’s what I would do if I was a leftist journalist

It’s easy to predict…this is 100% going to happen if RFK Jr is confirmed regardless of what his policies or rhetoric might be

There is simply already far too much video evidence of RFK sounding like an antivaxxer for them not to be able to credibly pin it on him and Trump

I like his agenda, but I fear he’s going to be an albatross to Trump and his larger agenda

Agree or disagree…I’m not being emotional about this.  I happily endorsed RFK jr…I think he’ll be a much needed disruptor to the public health system

But there is nothing more poignant for the masses and for the media to exploit than dead unvaccinated children…it’s gonna be bad",Thu Nov 21 22:37:16 +0000 2024,0.17551282051282052,Support
,,,,,,False,True,https://pbs.twimg.com/profile_banners/14437914/1730072881,Fri Apr 18 21:57:17 +0000 2008,"Follow PBS News for daily, breaking and live news, plus special coverage. We are home to PBS News Hour, ranked the most credible and objective TV news show.",,,,,,,,,,,pbs.org/newshour/,https://www.pbs.org/newshour/,0.0,23.0,https://t.co/Qa9AP1WmPb,0,19407,1169300,82131,True,14437914,True,False,False,"Arlington, VA",30744,PBS News,,False,https://pbs.twimg.com/profile_images/1802788878216015872/IL9U_ksg_normal.jpg,,252403,https://twitter.com/NewsHour,user,https://x.com/NewsHour,NewsHour,,"Several surprisingly strong economic reports, combined with President-elect Trump’s policy proposals, have led to a decidedly more cautious tone from the Federal Reserve that could mean fewer cuts and higher interest rates than had been expected. https://t.co/mPm8arjH9P",Thu Nov 21 22:07:00 +0000 2024,0.1386904761904762,Support
,,,,,,False,True,https://pbs.twimg.com/profile_banners/15079601/1648759324,Wed Jun 11 00:23:03 +0000 2008,Man of leisure. Sophisticate. Master Ace stock trader. Champion of Champions.,,,,,,,,,,,ibankcoin.com,https://ibankcoin.com,0.0,23.0,https://t.co/OawHREL9kX,0,30919,202743,338,True,15079601,True,False,False,United States,26332,The_Real_Fly,1.8519825553916396e+18,False,https://pbs.twimg.com/profile_images/1365459205453471751/LL4GKo3m_normal.jpg,,227661,https://twitter.com/The_Real_Fly,user,https://x.com/The_Real_Fly,The_Real_Fly,,BIDEN AIDES SEE EASING OF CONTROLS ON UKRAINE MISSILES AS PART OF EFFORT TO 'TRUMP-PROOF' UKRAINE POLICY - SOURCE,Thu Nov 21 21:12:46 +0000 2024,0.0,Support
,,,,,,False,False,https://pbs.twimg.com/profile_banners/73754019/1729816792,Sat Sep 12 22:51:23 +0000 2009,"Proud husband, father & American. Son of a single mom. Fighting for working folks everywhere as Chair of @TheDemocrats. @Marvel, @Lakers, Costco, & @WWE fan.",,,,,,,,,,,democrats.org,https://democrats.org,0.0,23.0,https://t.co/QYJ66rjsG4,0,19572,650330,7704,True,73754019,True,False,False,South Carolina,3583,Jaime Harrison,1.7407625007888676e+18,False,https://pbs.twimg.com/profile_images/1420550208220450818/Dr0mMmb1_normal.jpg,,34829,https://twitter.com/harrisonjaime,user,https://x.com/harrisonjaime,harrisonjaime,,"Trump picked Matt Whitaker to serve as ambassador to NATO. He has no foreign policy experience and will put our national security and the security of our allies at risk.

Trump will always put his ego and dangerous priorities over Americans’ safety and security.",Thu Nov 21 21:01:01 +0000 2024,0.26875,Support
,,,,,,False,True,https://pbs.twimg.com/profile_banners/863527548/1465411293,Fri Oct 05 19:10:03 +0000 2012,Professor of Applied Economics @JohnsHopkins | Senior Fellow @IndependentInst | @NRO | FX & Commodity Trader | Reagan White House | Views are my own,,,,,,,,,,,independent.org/aboutus/person…,https://www.independent.org/aboutus/person_detail.asp?id=516,0.0,23.0,https://t.co/dnsT3mfVDZ,0,6512,772491,6485,True,863527548,True,False,False,Baltimore & Paris,22758,Steve Hanke,1.8621192602037458e+18,False,https://pbs.twimg.com/profile_images/915395033871867905/3zbE7bAT_normal.jpg,,56541,https://twitter.com/steve_hanke,user,https://x.com/steve_hanke,steve_hanke,,"The FT reports Trump wants to implement a ""maximum pressure"" policy to bankrupt Iran.

Trump needs to read JHU Prof. @vali_nasr's latest book, ""How Sanctions Work: Iran and the Impact of Economic Warfare,"" to understand:

""suffocation...only encourages a nation to fight back."" https://t.co/kjHEYXofv4",Thu Nov 21 21:00:00 +0000 2024,0.22499999999999998,Support
,,,,,,False,False,https://pbs.twimg.com/profile_banners/3295423333/1536736758,Sun Jul 26 14:40:19 +0000 2015,Firstsquawk Is a Global Financial (News) Squawk Service Specialising In Financial Markets.,,,,,,,,,,,firstsquawk.com,https://firstsquawk.com,0.0,23.0,https://t.co/YiUNSfmoq3,0,845,325780,252,True,3295423333,True,False,False,"London, Mumbai, Singapore",2005,First Squawk,,False,https://pbs.twimg.com/profile_images/1039778545738964992/6fl6RNN0_normal.jpg,,172670,https://twitter.com/FirstSquawk,user,https://x.com/FirstSquawk,FirstSquawk,,BIDEN AIDES SEE EASING OF CONTROLS ON UKRAINE MISSILES AS PART OF EFFORT TO 'TRUMP-PROOF' UKRAINE POLICY - SOURCE,Thu Nov 21 20:34:45 +0000 2024,0.0,Support
,,,,,,True,True,https://pbs.twimg.com/profile_banners/930453075457921029/1725380256,Tue Nov 14 15:11:14 +0000 2017,𝕏 | CRYPTO NEWS IN REAL TIME |🥇SELFMADE | Developer & Co-Creator of @rplsripples | *DYOR & NFA*,,,,,,,,,,,ripplesxrpl.com,http://ripplesxrpl.com,0.0,23.0,https://t.co/v02F3dD5t1,0,145380,270179,309,True,930453075457921029,True,False,False,𝕏 Mars,16506,JackTheRippler ©️,1.8632938644270246e+18,False,https://pbs.twimg.com/profile_images/1831003615789563904/sE_LpNLy_normal.jpg,,65928,https://twitter.com/RippleXrpie,user,https://x.com/RippleXrpie,RippleXrpie,,"BOOOOOOOOOOOOOOOOOOM!!!

Crypto companies including @Ripple, Kraken and Circle are jostling for a seat on President-elect Donald Trump's promised crypto advisory council, seeking a say in his planned overhaul of U.S. policy! 

💥 #XRP WILL MELT FACES! 💥 https://t.co/tuyO2XFrx8",Thu Nov 21 20:19:01 +0000 2024,0.0,Support
,,,,,,False,False,https://pbs.twimg.com/profile_banners/2207129125/1724836333,Thu Nov 21 12:57:08 +0000 2013,"The leader in Bitcoin, Ethereum & blockchain news. TG: https://t.co/M6iNuH7EmF Mobile app: https://t.co/6IsiPgeFHp",t.me/cointelegraph,http://t.me/cointelegraph,55.0,78.0,https://t.co/M6iNuH7EmF,linktr.ee/cointelegraph_…,https://linktr.ee/cointelegraph_mobile,91.0,114.0,https://t.co/6IsiPgeFHp,cointelegraph.com,https://cointelegraph.com/,0.0,23.0,https://t.co/td5A2zRInc,0,12772,2396882,1166,True,2207129125,True,False,False,"New York, New York",27263,Cointelegraph,,False,https://pbs.twimg.com/profile_images/1755983593925378048/kYutau0B_normal.jpg,,150937,https://twitter.com/Cointelegraph,user,https://x.com/Cointelegraph,Cointelegraph,Business,🇺🇸 NEW: Trump's crypto council is likely to coordinate policy and set up a US #Bitcoin reserve. https://t.co/W8h60XbW6w,Thu Nov 21 20:05:40 +0000 2024,0.06818181818181818,Support
,,,,,,False,False,https://pbs.twimg.com/profile_banners/921460356/1638401862,Fri Nov 02 17:48:31 +0000 2012,,,,,,,,,,,,independent.academia.edu/VaradMehta,https://independent.academia.edu/VaradMehta,0.0,23.0,https://t.co/1oDHBPGfCM,0,15879,24770,1903,True,921460356,True,False,False,The good side of the Delaware,12837,Varad Mehta,1.8540534546725028e+18,False,https://pbs.twimg.com/profile_images/1466189521582579714/cTjFlVbv_normal.jpg,,641637,https://twitter.com/varadmehta,user,https://x.com/varadmehta,varadmehta,,"""Social conservatives are pushing for the return of several Trump-era abortion rules, including the so-called Mexico City policy that blocked federal funding for international non-governmental organizations that provide or offer counseling on abortions.""

That's not a Trump rule.",Thu Nov 21 19:07:44 +0000 2024,0.011111111111111112,Support
