"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,"false","true",,"Sun May 23 18:26:10 +0000 2010","Of course there are properties. How else could there be Property Brothers on HGTV?",,,,,,"0","1009","128","746","true","147284936","false","false","false","","84","Stanley McGeneral","847895172633460740","false","https://pbs.twimg.com/profile_images/836984193846505472/mojKCht8_normal.jpg","","4830","https://twitter.com/youngzeegy","user","https://x.com/youngzeegy","youngzeegy",,"@zebralife2002 @james0n2 @kayteterry @Imusually @billoreilly Bob Mueller does not answer to the Democrats. If there were nothing worth investigating, he wouldn't be going forward with investigation","Fri Jun 09 23:59:15 +0000 2017"
,,,,,,"false","true",,"Mon Nov 14 23:31:51 +0000 2011","Modernist with the right to bare arms. Realist with the right weigh the facts. Liberalist with the right of everyone to live their lives in peace.",,,,,,"0","15608","166","693","true","412624551","false","false","false","","36","Ron",,"false","https://pbs.twimg.com/profile_images/1682223153/image_normal.jpg","","2838","https://twitter.com/poppietweet","user","https://x.com/poppietweet","poppietweet",,"@Aus_RichAlex @AoDespair @nycsouthpaw @KamalaHarris She was a prosecutor. Masterfully, shinning a light on items still on the table for investigation/indictment. Mueller check. Awesome job!!!","Fri Jun 09 23:57:18 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/412036425/1680199527","Mon Nov 14 05:49:41 +0000 2011","#SaveTheEarth - Climate Crisis & Action - Democracy - Joe Biden - Make the world a better place 🌎🇺🇸🗽⚖️ 😷💙🟧 🇺🇦",,,,,,"0","72340","8184","7971","true","412036425","false","false","false","USA","6656","Mari, Merely Me 🇺🇸💙🟧","1690732792169041920","false","https://pbs.twimg.com/profile_images/1680651376114688000/QsCfzBz8_normal.jpg","","284866","https://twitter.com/AndThatAndThis","user","https://x.com/AndThatAndThis","AndThatAndThis",,"@realDonaldTrump #Comey handing over his notes to former Director Mueller, who is running the investigation, means that #Trump is now under investigation","Fri Jun 09 23:57:01 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/823386236488400896/1498581094","Mon Jan 23 04:25:51 +0000 2017","moving on up","amazon.com","http://amazon.com","0","23","https://t.co/Bg7vCkzUZy","0","1486","53","146","true","823386236488400896","false","false","false","United States","1103","Truthful Investigati",,"false","https://pbs.twimg.com/profile_images/885660498670358529/TdwbRC2G_normal.jpg","","7879","https://twitter.com/sobering_facts","user","https://x.com/sobering_facts","sobering_facts",,"Mueller is not the answer for a impartial investigation.   He worked with Comey.  His decision will be challenged by Republican party.","Fri Jun 09 23:56:06 +0000 2017"
,,,,,,"false","true",,"Tue Mar 21 14:19:24 +0000 2017","H.S. of Art & Design, NYC/ Howard Univ., Wash., DC - Psych. & Zoology/ Adelphi University School of Social Work, Garden City, NY
/Recently retired",,,,,,"0","9362","144","333","true","844191715510505472","false","false","false","Long Island, NY, USA","347","RENEE HULL","1578076351684296705","false","https://pbs.twimg.com/profile_images/896295090687139841/xxQpUcgR_normal.jpg","","14341","https://twitter.com/RENEEHU70892719","user","https://x.com/RENEEHU70892719","RENEEHU70892719",,"@chrislhayes Chris, I'm with you on getting Preet however, he may already be part of Mueller criminal investigation.  😊","Fri Jun 09 23:53:04 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/412036425/1680199527","Mon Nov 14 05:49:41 +0000 2011","#SaveTheEarth - Climate Crisis & Action - Democracy - Joe Biden - Make the world a better place 🌎🇺🇸🗽⚖️ 😷💙🟧 🇺🇦",,,,,,"0","72340","8184","7971","true","412036425","false","false","false","USA","6656","Mari, Merely Me 🇺🇸💙🟧","1690732792169041920","false","https://pbs.twimg.com/profile_images/1680651376114688000/QsCfzBz8_normal.jpg","","284866","https://twitter.com/AndThatAndThis","user","https://x.com/AndThatAndThis","AndThatAndThis",,"@realDonaldTrump @foxandfriends #Comey handing over his notes to former Director Mueller, who is running the investigation, means that #Trump is now under investigation.","Fri Jun 09 23:52:46 +0000 2017"
,,,,,,"true","false","https://pbs.twimg.com/profile_banners/805519531187826688/1483974480","Sun Dec 04 21:09:56 +0000 2016","This is @jplumb50 CJ’s husband. CJ passed away in December 2021. For now I will leave this account active. Notifications are off.",,,,,,"0","11120","533","497","false","805519531187826688","false","false","false","Oklahoma, USA","2160","CJ_Plumb","982342644654227456","false","https://pbs.twimg.com/profile_images/805527000060465152/rkfzcm-K_normal.jpg","","32977","https://twitter.com/antiquelove1234","user","https://x.com/antiquelove1234","antiquelove1234",,"@LiberalResist @MDBlanchfield Comey is really SHARP.. to think ahead about releasing his memos to create a SPECIAL investigation.. Who cares is it's a leak.. MUELLER yes","Fri Jun 09 23:52:29 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/803700222186684416/1483123274","Tue Nov 29 20:40:39 +0000 2016","Software dev she, serially obsessed

donate to @spreadthevoteus","goo.gl/dr6zBU","https://goo.gl/dr6zBU","0","23","https://t.co/RBmNSEgYxX","0","994472","5764","3326","true","803700222186684416","false","false","false","Crawfordsville, IN","8907","America, you're in danger girl","1698835359436570643","false","https://pbs.twimg.com/profile_images/967604347323473921/SCG5UJa7_normal.jpg","","567368","https://twitter.com/OverUnderClover","user","https://x.com/OverUnderClover","OverUnderClover",,"@JCStuartx @PPricklepants @Tcavjr @skooniebird @MalozTimmy @welcomepresence @chucktodd Nope - Comey said two things 1)Trump was not part of the investigation as of when he was fired. 2)After being fired memos sent to Mueller","Fri Jun 09 23:51:26 +0000 2017"
,,,,,,"false","false","https://pbs.twimg.com/profile_banners/412036425/1680199527","Mon Nov 14 05:49:41 +0000 2011","#SaveTheEarth - Climate Crisis & Action - Democracy - Joe Biden - Make the world a better place 🌎🇺🇸🗽⚖️ 😷💙🟧 🇺🇦",,,,,,"0","72340","8184","7971","true","412036425","false","false","false","USA","6656","Mari, Merely Me 🇺🇸💙🟧","1690732792169041920","false","https://pbs.twimg.com/profile_images/1680651376114688000/QsCfzBz8_normal.jpg","","284866","https://twitter.com/AndThatAndThis","user","https://x.com/AndThatAndThis","AndThatAndThis",,"@realDonaldTrump #Comey handing over his notes to former Director Mueller, who is running the investigation, means that #Trump is now under investigation","Fri Jun 09 23:51:10 +0000 2017"
,,,,,,"false","true","https://pbs.twimg.com/profile_banners/2540105401/1543085820","Sun Jun 01 17:46:13 +0000 2014","Princess Pricklepants, hedgehog, etiquette expert, kaiju aficionado, etc. 
 🦔 🦔 🦔
we also bring you @facts_hedgehog & @ModDinoAttacks","etsy.com/shop/UrchinWea…","https://www.etsy.com/shop/UrchinWearShirts","0","23","https://t.co/7Ca4lmaqRk","0","156431","2590","1235","true","2540105401","false","false","false","Royal Palace, Quillonia","4497","Princess Pricklepants 🦔","1238943098803228673","false","https://pbs.twimg.com/profile_images/1045861138489958400/Qs-QiWoN_normal.jpg","","15936","https://twitter.com/PPricklepants","user","https://x.com/PPricklepants","PPricklepants",,"@JCStuartx @Tcavjr @skooniebird @MalozTimmy @OverUnderClover @welcomepresence @chucktodd You're misinformed. Comey stated clearly Trump hadn't been under investigation during meetings, but believed Mueller was investigating him.","Fri Jun 09 23:50:25 +0000 2017"
